統計年月,區域別,村里,出生數,出生數-男,出生數-女,死亡數,死亡數-男,死亡數-女,結婚對數,離婚對數
10304,宜蘭縣蘇澳鎮,朝陽里,1,0,1,2,2,0,0,0
10304,宜蘭縣蘇澳鎮,東澳里,0,0,0,0,0,0,0,0
10304,宜蘭縣蘇澳鎮,永光里,0,0,0,0,0,0,0,1
10304,宜蘭縣蘇澳鎮,永春里,0,0,0,1,0,1,1,0
10304,宜蘭縣蘇澳鎮,永榮里,1,1,0,2,1,1,0,1
10304,宜蘭縣蘇澳鎮,永樂里,3,1,2,1,0,1,0,0
10304,宜蘭縣蘇澳鎮,港邊里,0,0,0,0,0,0,2,0
10304,宜蘭縣蘇澳鎮,聖愛里,4,1,3,0,0,0,0,1
10304,宜蘭縣蘇澳鎮,聖湖里,1,1,0,3,2,1,0,1
10304,宜蘭縣蘇澳鎮,蘇北里,0,0,0,2,0,2,0,0
10304,宜蘭縣蘇澳鎮,蘇南里,0,0,0,1,0,1,0,0
10304,宜蘭縣蘇澳鎮,蘇東里,1,0,1,1,1,0,0,1
10304,宜蘭縣蘇澳鎮,蘇西里,2,2,0,2,1,1,2,0
10304,宜蘭縣蘇澳鎮,長安里,1,1,0,0,0,0,0,0
10304,宜蘭縣蘇澳鎮,隘丁里,1,0,1,1,1,0,1,2
10304,宜蘭縣蘇澳鎮,頂寮里,0,0,0,2,1,1,0,1
10304,宜蘭縣蘇澳鎮,龍德里,3,1,2,2,1,1,0,0
10304,宜蘭縣頭城鎮,下埔里,1,0,1,0,0,0,0,1
10304,宜蘭縣頭城鎮,中崙里,1,0,1,0,0,0,2,0
10304,宜蘭縣頭城鎮,二城里,0,0,0,0,0,0,2,0
10304,宜蘭縣頭城鎮,合興里,0,0,0,0,0,0,1,0
10304,宜蘭縣頭城鎮,城北里,0,0,0,0,0,0,0,0
10304,宜蘭縣頭城鎮,城南里,1,0,1,0,0,0,2,0
10304,宜蘭縣頭城鎮,城東里,0,0,0,1,0,1,0,0
10304,宜蘭縣頭城鎮,城西里,1,1,0,0,0,0,0,1
10304,宜蘭縣頭城鎮,外澳里,0,0,0,2,2,0,1,0
10304,宜蘭縣頭城鎮,大坑里,0,0,0,0,0,0,0,0
10304,宜蘭縣頭城鎮,大溪里,0,0,0,0,0,0,0,0
10304,宜蘭縣頭城鎮,大里里,0,0,0,4,3,1,0,0
10304,宜蘭縣頭城鎮,拔雅里,0,0,0,0,0,0,0,0
10304,宜蘭縣頭城鎮,新建里,1,1,0,1,0,1,1,2
10304,宜蘭縣頭城鎮,更新里,4,1,3,1,0,1,1,0
10304,宜蘭縣頭城鎮,武營里,1,1,0,0,0,0,0,0
10304,宜蘭縣頭城鎮,港口里,0,0,0,1,0,1,0,0
10304,宜蘭縣頭城鎮,石城里,1,0,1,0,0,0,0,0
10304,宜蘭縣頭城鎮,福成里,0,0,0,1,1,0,0,0
10304,宜蘭縣頭城鎮,竹安里,2,2,0,3,0,3,2,2
10304,宜蘭縣頭城鎮,金盈里,0,0,0,0,0,0,0,0
10304,宜蘭縣頭城鎮,金面里,1,0,1,4,3,1,1,1
10304,宜蘭縣頭城鎮,頂埔里,0,0,0,1,1,0,0,0
10304,宜蘭縣頭城鎮,龜山里,2,1,1,0,0,0,1,0
10304,宜蘭縣礁溪鄉,三民村,1,0,1,3,2,1,0,0
10304,宜蘭縣礁溪鄉,二結村,0,0,0,1,1,0,0,0
10304,宜蘭縣礁溪鄉,二龍村,1,0,1,1,0,1,1,0
10304,宜蘭縣礁溪鄉,光武村,1,1,0,0,0,0,1,0
10304,宜蘭縣礁溪鄉,六結村,0,0,0,0,0,0,0,0
10304,宜蘭縣礁溪鄉,匏崙村,2,1,1,0,0,0,0,0
10304,宜蘭縣礁溪鄉,吳沙村,4,3,1,1,1,0,3,2
10304,宜蘭縣礁溪鄉,大忠村,3,1,2,1,1,0,1,0
10304,宜蘭縣礁溪鄉,大義村,0,0,0,2,0,2,0,0
10304,宜蘭縣礁溪鄉,德陽村,2,0,2,0,0,0,0,3
10304,宜蘭縣礁溪鄉,時潮村,0,0,0,1,1,0,0,0
10304,宜蘭縣礁溪鄉,林美村,0,0,0,0,0,0,0,1
10304,宜蘭縣礁溪鄉,玉光村,2,2,0,0,0,0,1,0
10304,宜蘭縣礁溪鄉,玉田村,3,1,2,0,0,0,2,1
10304,宜蘭縣礁溪鄉,玉石村,1,1,0,0,0,0,0,0
10304,宜蘭縣礁溪鄉,白雲村,2,1,1,1,1,0,1,0
10304,宜蘭縣礁溪鄉,白鵝村,0,0,0,0,0,0,0,0
10304,宜蘭縣礁溪鄉,龍潭村,2,1,1,1,1,0,4,0
10304,宜蘭縣壯圍鄉,功勞村,0,0,0,2,1,1,0,0
10304,宜蘭縣壯圍鄉,古亭村,0,0,0,0,0,0,0,1
10304,宜蘭縣壯圍鄉,古結村,0,0,0,3,2,1,0,1
10304,宜蘭縣壯圍鄉,吉祥村,3,2,1,3,3,0,0,0
10304,宜蘭縣壯圍鄉,大福村,2,1,1,2,1,1,1,1
10304,宜蘭縣壯圍鄉,復興村,0,0,0,0,0,0,1,0
10304,宜蘭縣壯圍鄉,忠孝村,2,1,1,1,0,1,0,0
10304,宜蘭縣壯圍鄉,新南村,0,0,0,1,1,0,1,0
10304,宜蘭縣壯圍鄉,新社村,0,0,0,1,1,0,0,0
10304,宜蘭縣壯圍鄉,東港村,0,0,0,2,2,0,1,0
10304,宜蘭縣壯圍鄉,永鎮村,0,0,0,1,1,0,0,0
10304,宜蘭縣壯圍鄉,美城村,1,1,0,1,1,0,1,0
10304,宜蘭縣壯圍鄉,美福村,1,0,1,2,0,2,1,0
10304,宜蘭縣壯圍鄉,過嶺村,2,1,1,5,4,1,0,0
10304,宜蘭縣員山鄉,七賢村,1,0,1,0,0,0,1,0
10304,宜蘭縣員山鄉,中華村,0,0,0,5,4,1,0,0
10304,宜蘭縣員山鄉,內城村,3,1,2,5,5,0,0,0
10304,宜蘭縣員山鄉,同樂村,1,0,1,4,3,1,1,1
10304,宜蘭縣員山鄉,員山村,5,2,3,5,3,2,2,0
10304,宜蘭縣員山鄉,尚德村,1,1,0,2,2,0,0,2
10304,宜蘭縣員山鄉,惠好村,1,0,1,1,0,1,0,0
10304,宜蘭縣員山鄉,枕山村,3,0,3,1,1,0,1,1
10304,宜蘭縣員山鄉,永和村,2,2,0,2,0,2,1,1
10304,宜蘭縣員山鄉,深溝村,0,0,0,1,1,0,0,0
10304,宜蘭縣員山鄉,湖北村,0,0,0,1,1,0,1,0
10304,宜蘭縣員山鄉,湖東村,1,1,0,2,2,0,0,2
10304,宜蘭縣員山鄉,湖西村,1,0,1,1,1,0,2,0
10304,宜蘭縣員山鄉,蓁巷村,2,1,1,1,0,1,0,1
10304,宜蘭縣員山鄉,逸仙村,3,2,1,1,0,1,0,0
10304,宜蘭縣員山鄉,頭分村,1,0,1,2,0,2,0,0
10304,宜蘭縣冬山鄉,三奇村,1,0,1,2,0,2,1,0
10304,宜蘭縣冬山鄉,中山村,0,0,0,0,0,0,0,0
10304,宜蘭縣冬山鄉,丸山村,0,0,0,1,0,1,0,0
10304,宜蘭縣冬山鄉,八寶村,0,0,0,3,1,2,0,0
10304,宜蘭縣冬山鄉,冬山村,1,0,1,3,3,0,0,0
10304,宜蘭縣冬山鄉,南興村,2,2,0,0,0,0,1,0
10304,宜蘭縣冬山鄉,大興村,0,0,0,1,1,0,0,0
10304,宜蘭縣冬山鄉,大進村,2,0,2,0,0,0,1,0
10304,宜蘭縣冬山鄉,太和村,0,0,0,4,4,0,1,1
10304,宜蘭縣冬山鄉,安平村,0,0,0,1,0,1,0,1
10304,宜蘭縣冬山鄉,廣安村,1,0,1,0,0,0,2,0
10304,宜蘭縣冬山鄉,廣興村,0,0,0,0,0,0,4,1
10304,宜蘭縣冬山鄉,得安村,0,0,0,3,2,1,0,0
10304,宜蘭縣冬山鄉,東城村,1,0,1,1,1,0,1,0
10304,宜蘭縣冬山鄉,柯林村,2,1,1,0,0,0,4,1
10304,宜蘭縣冬山鄉,武淵村,2,1,1,2,1,1,0,0
10304,宜蘭縣冬山鄉,永美村,5,2,3,1,1,0,3,1
10304,宜蘭縣冬山鄉,清溝村,1,1,0,2,1,1,3,0
10304,宜蘭縣冬山鄉,珍珠村,0,0,0,4,2,2,0,0
10304,宜蘭縣冬山鄉,群英村,1,1,0,4,1,3,3,1
10304,宜蘭縣冬山鄉,補城村,1,1,0,1,0,1,0,0
10304,宜蘭縣冬山鄉,順安村,4,3,1,6,4,2,2,2
10304,宜蘭縣冬山鄉,香和村,1,1,0,5,3,2,4,0
10304,宜蘭縣冬山鄉,鹿埔村,2,0,2,1,0,1,1,0
10304,宜蘭縣五結鄉,三興村,0,0,0,3,1,2,1,1
10304,宜蘭縣五結鄉,上四村,1,1,0,3,2,1,0,0
10304,宜蘭縣五結鄉,中興村,3,2,1,0,0,0,0,0
10304,宜蘭縣五結鄉,二結村,1,0,1,1,0,1,2,0
10304,宜蘭縣五結鄉,五結村,1,0,1,1,0,1,1,1
10304,宜蘭縣五結鄉,利澤村,4,2,2,1,1,0,1,3
10304,宜蘭縣五結鄉,協和村,7,4,3,1,1,0,0,2
10304,宜蘭縣五結鄉,四結村,4,3,1,3,3,0,1,0
10304,宜蘭縣五結鄉,大吉村,2,1,1,3,2,1,1,1
10304,宜蘭縣五結鄉,孝威村,2,1,1,1,1,0,0,0
10304,宜蘭縣五結鄉,季新村,1,0,1,1,0,1,2,1
10304,宜蘭縣五結鄉,成興村,3,2,1,0,0,0,3,0
10304,宜蘭縣五結鄉,福興村,0,0,0,0,0,0,1,0
10304,宜蘭縣五結鄉,錦眾村,1,0,1,0,0,0,0,2
10304,宜蘭縣五結鄉,鎮安村,2,0,2,2,1,1,3,0
10304,宜蘭縣三星鄉,人和村,0,0,0,0,0,0,0,0
10304,宜蘭縣三星鄉,員山村,0,0,0,0,0,0,0,0
10304,宜蘭縣三星鄉,大洲村,0,0,0,1,1,0,1,0
10304,宜蘭縣三星鄉,大義村,0,0,0,1,1,0,2,0
10304,宜蘭縣三星鄉,大隱村,0,0,0,3,3,0,1,2
10304,宜蘭縣三星鄉,天山村,1,1,0,0,0,0,0,0
10304,宜蘭縣三星鄉,天福村,0,0,0,2,1,1,1,0
10304,宜蘭縣三星鄉,尚武村,1,1,0,1,1,0,0,0
10304,宜蘭縣三星鄉,尾塹村,0,0,0,1,1,0,0,0
10304,宜蘭縣三星鄉,拱照村,0,0,0,3,3,0,1,0
10304,宜蘭縣三星鄉,月眉村,0,0,0,1,1,0,0,0
10304,宜蘭縣三星鄉,義德村,2,1,1,1,1,0,0,1
10304,宜蘭縣三星鄉,萬富村,1,0,1,1,1,0,0,1
10304,宜蘭縣三星鄉,萬德村,0,0,0,0,0,0,0,1
10304,宜蘭縣三星鄉,行健村,1,0,1,0,0,0,1,0
10304,宜蘭縣三星鄉,貴林村,0,0,0,1,1,0,0,0
10304,宜蘭縣三星鄉,集慶村,3,2,1,0,0,0,1,0
10304,宜蘭縣三星鄉,雙賢村,1,1,0,0,0,0,0,1
10304,宜蘭縣大同鄉,南山村,2,2,0,2,1,1,0,0
10304,宜蘭縣大同鄉,四季村,0,0,0,0,0,0,0,0
10304,宜蘭縣大同鄉,太平村,0,0,0,0,0,0,0,0
10304,宜蘭縣大同鄉,寒溪村,1,1,0,1,0,1,0,1
10304,宜蘭縣大同鄉,崙埤村,0,0,0,1,1,0,0,0
10304,宜蘭縣大同鄉,復興村,0,0,0,0,0,0,0,0
10304,宜蘭縣大同鄉,松羅村,1,0,1,1,0,1,1,1
10304,宜蘭縣大同鄉,樂水村,0,0,0,1,1,0,0,0
10304,宜蘭縣大同鄉,英士村,0,0,0,0,0,0,0,0
10304,宜蘭縣大同鄉,茂安村,0,0,0,0,0,0,0,0
10304,宜蘭縣南澳鄉,南澳村,1,1,0,0,0,0,0,1
10304,宜蘭縣南澳鄉,東岳村,0,0,0,1,0,1,0,0
10304,宜蘭縣南澳鄉,武塔村,1,1,0,0,0,0,0,0
10304,宜蘭縣南澳鄉,澳花村,2,2,0,0,0,0,1,1
10304,宜蘭縣南澳鄉,碧候村,1,0,1,1,1,0,2,0
10304,宜蘭縣南澳鄉,金岳村,0,0,0,0,0,0,1,1
10304,宜蘭縣南澳鄉,金洋村,1,1,0,1,1,0,0,1
10304,桃園縣桃園市,三元里,2,2,0,1,1,0,0,1
10304,桃園縣桃園市,三民里,4,1,3,1,1,0,2,1
10304,桃園縣桃園市,中信里,6,2,4,3,0,3,6,1
10304,桃園縣桃園市,中原里,3,3,0,1,0,1,4,2
10304,桃園縣桃園市,中和里,0,0,0,1,1,0,0,0
10304,桃園縣桃園市,中埔里,1,0,1,1,1,0,0,0
10304,桃園縣桃園市,中寧里,7,3,4,3,1,2,1,2
10304,桃園縣桃園市,中山里,3,2,1,4,2,2,3,1
10304,桃園縣桃園市,中平里,0,0,0,2,1,1,2,0
10304,桃園縣桃園市,中德里,6,3,3,5,5,0,4,4
10304,桃園縣桃園市,中成里,6,3,3,1,1,0,4,2
10304,桃園縣桃園市,中正里,3,2,1,1,0,1,2,2
10304,桃園縣桃園市,中泰里,4,2,2,1,1,0,2,1
10304,桃園縣桃園市,中聖里,5,3,2,1,0,1,2,1
10304,桃園縣桃園市,中興里,7,6,1,6,4,2,5,0
10304,桃園縣桃園市,中路里,6,2,4,0,0,0,5,0
10304,桃園縣桃園市,信光里,10,5,5,4,4,0,3,1
10304,桃園縣桃園市,光興里,2,0,2,2,1,1,1,3
10304,桃園縣桃園市,北埔里,2,1,1,0,0,0,1,0
10304,桃園縣桃園市,北門里,1,1,0,0,0,0,0,0
10304,桃園縣桃園市,南埔里,3,1,2,1,1,0,2,1
10304,桃園縣桃園市,南華里,0,0,0,1,0,1,0,0
10304,桃園縣桃園市,南門里,6,4,2,1,1,0,2,0
10304,桃園縣桃園市,同安里,6,4,2,1,1,0,4,3
10304,桃園縣桃園市,同德里,6,3,3,2,0,2,3,1
10304,桃園縣桃園市,大有里,3,1,2,4,2,2,3,1
10304,桃園縣桃園市,大林里,14,7,7,5,3,2,4,1
10304,桃園縣桃園市,大興里,8,3,5,4,3,1,7,4
10304,桃園縣桃園市,大豐里,1,0,1,5,4,1,1,0
10304,桃園縣桃園市,寶安里,10,6,4,2,2,0,3,2
10304,桃園縣桃園市,寶山里,5,3,2,2,1,1,3,2
10304,桃園縣桃園市,寶慶里,2,0,2,3,2,1,3,0
10304,桃園縣桃園市,建國里,4,2,2,2,0,2,2,0
10304,桃園縣桃園市,忠義里,7,3,4,2,1,1,5,2
10304,桃園縣桃園市,慈文里,2,0,2,3,1,2,2,2
10304,桃園縣桃園市,成功里,2,0,2,2,2,0,2,0
10304,桃園縣桃園市,文中里,0,0,0,1,0,1,0,0
10304,桃園縣桃園市,文化里,1,1,0,1,0,1,0,0
10304,桃園縣桃園市,文昌里,0,0,0,0,0,0,1,0
10304,桃園縣桃園市,文明里,0,0,0,3,1,2,1,1
10304,桃園縣桃園市,新埔里,8,3,5,4,3,1,2,2
10304,桃園縣桃園市,明德里,0,0,0,3,2,1,1,3
10304,桃園縣桃園市,春日里,5,2,3,2,2,0,3,3
10304,桃園縣桃園市,會稽里,12,5,7,6,3,3,3,2
10304,桃園縣桃園市,朝陽里,2,1,1,1,1,0,1,0
10304,桃園縣桃園市,東埔里,3,1,2,4,3,1,1,0
10304,桃園縣桃園市,東山里,1,1,0,0,0,0,3,0
10304,桃園縣桃園市,東門里,2,2,0,2,1,1,1,0
10304,桃園縣桃園市,武陵里,3,1,2,1,1,0,1,1
10304,桃園縣桃園市,民生里,2,1,1,0,0,0,0,0
10304,桃園縣桃園市,永安里,3,0,3,3,0,3,4,1
10304,桃園縣桃園市,永興里,0,0,0,1,0,1,0,0
10304,桃園縣桃園市,汴洲里,4,3,1,3,2,1,4,0
10304,桃園縣桃園市,泰山里,5,3,2,2,2,0,1,0
10304,桃園縣桃園市,玉山里,3,2,1,2,1,1,3,1
10304,桃園縣桃園市,瑞慶里,6,3,3,0,0,0,2,3
10304,桃園縣桃園市,福安里,5,2,3,2,1,1,2,1
10304,桃園縣桃園市,福林里,8,3,5,5,1,4,4,1
10304,桃園縣桃園市,自強里,4,1,3,2,1,1,3,7
10304,桃園縣桃園市,莊敬里,5,5,0,2,1,1,5,4
10304,桃園縣桃園市,萬壽里,0,0,0,0,0,0,1,0
10304,桃園縣桃園市,西埔里,3,1,2,2,1,1,4,2
10304,桃園縣桃園市,西湖里,0,0,0,1,1,0,0,0
10304,桃園縣桃園市,西門里,0,0,0,0,0,0,3,0
10304,桃園縣桃園市,豐林里,5,3,2,6,4,2,5,2
10304,桃園縣桃園市,長安里,3,2,1,2,1,1,0,1
10304,桃園縣桃園市,長德里,3,1,2,3,2,1,3,2
10304,桃園縣桃園市,長美里,1,0,1,1,0,1,2,0
10304,桃園縣桃園市,雲林里,4,2,2,5,4,1,4,0
10304,桃園縣桃園市,青溪里,5,4,1,4,3,1,1,0
10304,桃園縣桃園市,龍壽里,2,1,1,1,0,1,0,2
10304,桃園縣桃園市,龍安里,3,3,0,0,0,0,5,1
10304,桃園縣桃園市,龍山里,2,2,0,1,1,0,0,2
10304,桃園縣桃園市,龍岡里,3,1,2,1,1,0,3,2
10304,桃園縣桃園市,龍祥里,1,1,0,2,1,1,3,2
10304,桃園縣桃園市,龍鳳里,2,1,1,5,3,2,0,2
10304,桃園縣中壢市,三民里,1,0,1,2,2,0,0,0
10304,桃園縣中壢市,中原里,2,2,0,3,3,0,1,1
10304,桃園縣中壢市,中堅里,5,3,2,2,2,0,2,1
10304,桃園縣中壢市,中壢里,2,2,0,1,1,0,0,0
10304,桃園縣中壢市,中央里,1,1,0,0,0,0,3,2
10304,桃園縣中壢市,中山里,4,1,3,3,3,0,3,2
10304,桃園縣中壢市,中建里,0,0,0,1,0,1,1,0
10304,桃園縣中壢市,中榮里,0,0,0,1,0,1,0,0
10304,桃園縣中壢市,中正里,7,4,3,3,2,1,2,1
10304,桃園縣中壢市,中興里,1,1,0,1,1,0,2,2
10304,桃園縣中壢市,五權里,8,2,6,2,2,0,4,1
10304,桃園縣中壢市,五福里,4,3,1,3,2,1,3,0
10304,桃園縣中壢市,仁和里,3,1,2,0,0,0,4,4
