統計年月,區域別,村里,出生數,出生數-男,出生數-女,死亡數,死亡數-男,死亡數-女,結婚對數,離婚對數
10304,連江縣南竿鄉,仁愛村,2,1,1,0,0,0,0,0
10304,連江縣南竿鄉,介壽村,8,3,5,1,1,0,1,1
10304,連江縣南竿鄉,四維村,0,0,0,0,0,0,1,0
10304,連江縣南竿鄉,復興村,0,0,0,1,1,0,0,0
10304,連江縣南竿鄉,津沙村,0,0,0,0,0,0,0,0
10304,連江縣南竿鄉,清水村,1,0,1,0,0,0,0,0
10304,連江縣南竿鄉,珠螺村,0,0,0,0,0,0,0,0
10304,連江縣南竿鄉,福沃村,1,0,1,0,0,0,0,0
10304,連江縣南竿鄉,馬祖村,0,0,0,0,0,0,0,2
10304,連江縣北竿鄉,后沃村,0,0,0,0,0,0,0,0
10304,連江縣北竿鄉,坂里村,0,0,0,0,0,0,0,1
10304,連江縣北竿鄉,塘岐村,1,1,0,2,0,2,0,0
10304,連江縣北竿鄉,橋仔村,0,0,0,0,0,0,0,0
10304,連江縣北竿鄉,白沙村,0,0,0,0,0,0,0,0
10304,連江縣北竿鄉,芹壁村,0,0,0,0,0,0,1,0
10304,連江縣莒光鄉,大坪村,0,0,0,0,0,0,0,0
10304,連江縣莒光鄉,田沃村,1,0,1,0,0,0,0,0
10304,連江縣莒光鄉,福正村,0,0,0,0,0,0,0,0
10304,連江縣莒光鄉,西坵村,0,0,0,0,0,0,0,0
10304,連江縣莒光鄉,青帆村,0,0,0,1,1,0,0,0
10304,連江縣東引鄉,中柳村,1,1,0,0,0,0,0,0
10304,連江縣東引鄉,樂華村,1,1,0,0,0,0,0,0
10304,金門縣金城鎮,北門里,7,3,4,4,2,2,1,1
10304,金門縣金城鎮,南門里,6,2,4,3,1,2,2,0
10304,金門縣金城鎮,古城里,3,0,3,2,1,1,1,0
10304,金門縣金城鎮,東門里,6,3,3,5,4,1,4,0
10304,金門縣金城鎮,珠沙里,5,3,2,2,1,1,0,0
10304,金門縣金城鎮,西門里,16,10,6,4,0,4,3,1
10304,金門縣金城鎮,賢庵里,5,1,4,2,1,1,1,0
10304,金門縣金城鎮,金水里,1,1,0,1,1,0,0,2
10304,金門縣金沙鎮,三山里,1,0,1,0,0,0,0,0
10304,金門縣金沙鎮,何斗里,2,1,1,3,1,2,0,0
10304,金門縣金沙鎮,光前里,5,5,0,0,0,0,0,0
10304,金門縣金沙鎮,大洋里,0,0,0,0,0,0,0,0
10304,金門縣金沙鎮,官嶼里,1,1,0,0,0,0,1,0
10304,金門縣金沙鎮,汶沙里,3,1,2,0,0,0,2,0
10304,金門縣金沙鎮,浦山里,2,1,1,0,0,0,0,0
10304,金門縣金沙鎮,西園里,2,1,1,0,0,0,1,2
10304,金門縣金湖鎮,山外里,3,2,1,1,1,0,2,0
10304,金門縣金湖鎮,料羅里,1,0,1,1,1,0,2,0
10304,金門縣金湖鎮,新市里,7,5,2,0,0,0,0,0
10304,金門縣金湖鎮,新湖里,8,4,4,1,1,0,5,2
10304,金門縣金湖鎮,正義里,2,1,1,0,0,0,0,0
10304,金門縣金湖鎮,溪湖里,1,0,1,0,0,0,1,0
10304,金門縣金湖鎮,瓊林里,3,2,1,1,1,0,1,0
10304,金門縣金湖鎮,蓮庵里,3,2,1,1,1,0,0,0
10304,金門縣金寧鄉,古寧村,4,1,3,5,3,2,3,0
10304,金門縣金寧鄉,后盤村,1,1,0,0,0,0,0,0
10304,金門縣金寧鄉,安美村,2,2,0,1,1,0,0,1
10304,金門縣金寧鄉,榜林村,1,1,0,4,2,2,2,1
10304,金門縣金寧鄉,湖埔村,1,0,1,4,2,2,1,0
10304,金門縣金寧鄉,盤山村,5,0,5,0,0,0,1,0
10304,金門縣烈嶼鄉,上岐村,1,1,0,2,1,1,2,0
10304,金門縣烈嶼鄉,上林村,1,1,0,0,0,0,1,0
10304,金門縣烈嶼鄉,林湖村,7,4,3,4,4,0,0,1
10304,金門縣烈嶼鄉,西口村,1,1,0,0,0,0,4,0
10304,金門縣烈嶼鄉,黃埔村,1,1,0,2,1,1,2,0
10304,金門縣烏坵鄉,大坵村,0,0,0,0,0,0,0,0
10304,金門縣烏坵鄉,小坵村,0,0,0,0,0,0,0,0
10304,宜蘭縣宜蘭市,七張里,3,3,0,0,0,0,0,0
10304,宜蘭縣宜蘭市,七結里,1,0,1,0,0,0,2,0
10304,宜蘭縣宜蘭市,中山里,1,0,1,2,2,0,0,1
10304,宜蘭縣宜蘭市,中興里,5,2,3,2,2,0,2,1
10304,宜蘭縣宜蘭市,凱旋里,1,1,0,0,0,0,0,0
10304,宜蘭縣宜蘭市,北津里,1,1,0,1,1,0,3,1
10304,宜蘭縣宜蘭市,北門里,0,0,0,0,0,0,3,0
10304,宜蘭縣宜蘭市,南橋里,2,1,1,4,2,2,0,0
10304,宜蘭縣宜蘭市,南津里,2,1,1,1,0,1,0,1
10304,宜蘭縣宜蘭市,南門里,1,0,1,0,0,0,0,0
10304,宜蘭縣宜蘭市,大新里,0,0,0,1,1,0,0,1
10304,宜蘭縣宜蘭市,孝廉里,1,1,0,0,0,0,2,0
10304,宜蘭縣宜蘭市,小東里,0,0,0,0,0,0,1,1
10304,宜蘭縣宜蘭市,延平里,1,1,0,3,2,1,0,1
10304,宜蘭縣宜蘭市,建業里,1,1,0,1,0,1,2,0
10304,宜蘭縣宜蘭市,建軍里,1,0,1,0,0,0,1,0
10304,宜蘭縣宜蘭市,復興里,0,0,0,3,1,2,0,1
10304,宜蘭縣宜蘭市,思源里,0,0,0,0,0,0,1,1
10304,宜蘭縣宜蘭市,慈安里,1,1,0,3,2,1,0,0
10304,宜蘭縣宜蘭市,成功里,2,1,1,2,1,1,0,0
10304,宜蘭縣宜蘭市,擺厘里,3,1,2,2,1,1,0,1
10304,宜蘭縣宜蘭市,文化里,4,2,2,2,2,0,1,1
10304,宜蘭縣宜蘭市,新東里,2,2,0,2,1,1,2,0
10304,宜蘭縣宜蘭市,新民里,2,1,1,2,0,2,0,0
10304,宜蘭縣宜蘭市,新生里,2,1,1,2,0,2,0,1
10304,宜蘭縣宜蘭市,東村里,2,1,1,3,1,2,1,0
10304,宜蘭縣宜蘭市,東門里,1,0,1,0,0,0,2,1
10304,宜蘭縣宜蘭市,梅洲里,2,1,1,5,4,1,3,0
10304,宜蘭縣宜蘭市,民族里,2,0,2,4,3,1,0,0
10304,宜蘭縣宜蘭市,民權里,2,1,1,2,1,1,2,0
10304,宜蘭縣宜蘭市,泰山里,2,1,1,0,0,0,2,0
10304,宜蘭縣宜蘭市,神農里,3,2,1,2,2,0,1,1
10304,宜蘭縣宜蘭市,茭白里,0,0,0,2,1,1,2,0
10304,宜蘭縣宜蘭市,菜園里,1,1,0,1,1,0,1,0
10304,宜蘭縣宜蘭市,西門里,1,0,1,1,1,0,1,0
10304,宜蘭縣宜蘭市,負郭里,4,1,3,4,3,1,1,2
10304,宜蘭縣宜蘭市,進士里,1,0,1,1,0,1,0,0
10304,宜蘭縣宜蘭市,黎明里,1,1,0,1,1,0,0,0
10304,宜蘭縣羅東鎮,中山里,1,0,1,2,1,1,0,0
10304,宜蘭縣羅東鎮,仁和里,1,1,0,0,0,0,0,0
10304,宜蘭縣羅東鎮,仁德里,1,1,0,1,1,0,0,0
10304,宜蘭縣羅東鎮,仁愛里,1,0,1,0,0,0,1,2
10304,宜蘭縣羅東鎮,信義里,1,1,0,0,0,0,1,0
10304,宜蘭縣羅東鎮,公正里,6,3,3,2,0,2,0,0
10304,宜蘭縣羅東鎮,北成里,1,1,0,1,1,0,2,0
10304,宜蘭縣羅東鎮,南昌里,3,3,0,1,1,0,2,2
10304,宜蘭縣羅東鎮,南豪里,2,2,0,3,1,2,2,0
10304,宜蘭縣羅東鎮,國華里,4,2,2,2,1,1,2,0
10304,宜蘭縣羅東鎮,大新里,2,2,0,0,0,0,0,0
10304,宜蘭縣羅東鎮,成功里,2,2,0,2,1,1,0,0
10304,宜蘭縣羅東鎮,新群里,0,0,0,3,0,3,2,0
10304,宜蘭縣羅東鎮,東安里,1,0,1,0,0,0,2,1
10304,宜蘭縣羅東鎮,樹林里,1,1,0,1,1,0,2,0
10304,宜蘭縣羅東鎮,漢民里,4,3,1,2,1,1,1,1
10304,宜蘭縣羅東鎮,竹林里,3,1,2,2,2,0,1,4
10304,宜蘭縣羅東鎮,維揚里,2,0,2,0,0,0,2,0
10304,宜蘭縣羅東鎮,羅莊里,0,0,0,2,0,2,0,1
10304,宜蘭縣羅東鎮,西安里,1,0,1,2,1,1,0,2
10304,宜蘭縣羅東鎮,賢文里,5,3,2,4,2,2,4,1
10304,宜蘭縣羅東鎮,開明里,1,0,1,0,0,0,0,1
10304,宜蘭縣羅東鎮,集祥里,0,0,0,1,1,0,1,0
10304,宜蘭縣蘇澳鎮,南安里,1,0,1,3,1,2,1,0
10304,宜蘭縣蘇澳鎮,南寧里,0,0,0,0,0,0,0,0
10304,宜蘭縣蘇澳鎮,南建里,2,0,2,1,1,0,1,0
10304,宜蘭縣蘇澳鎮,南強里,0,0,0,0,0,0,1,0
10304,宜蘭縣蘇澳鎮,南成里,1,1,0,1,1,0,0,0
10304,宜蘭縣蘇澳鎮,南正里,0,0,0,0,0,0,0,0
10304,宜蘭縣蘇澳鎮,南興里,1,1,0,1,1,0,0,3
10304,宜蘭縣蘇澳鎮,存仁里,1,0,1,2,2,0,0,0
10304,宜蘭縣蘇澳鎮,新城里,0,0,0,1,1,0,1,0
