統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,嘉義市東 區,中央里,1040,2717,1344,1373,13,9,12,11,11,12,7,4,10,8,17,20,11,23,7,8,17,12,15,9,13,14,10,10,10,14,20,14,15,21,13,7,9,17,17,16,17,12,14,10,15,15,13,14,14,11,23,17,21,19,19,17,15,11,18,17,16,19,20,23,16,21,24,23,19,27,13,23,14,17,20,21,17,21,19,19,13,11,21,15,19,20,19,22,21,25,15,16,11,18,8,18,18,19,19,18,25,23,23,22,28,18,17,20,28,19,21,12,25,21,23,21,18,15,16,22,19,28,20,17,25,18,21,14,16,32,24,15,23,19,17,14,23,29,15,13,13,6,11,12,10,16,12,13,16,9,9,6,8,18,7,9,12,10,9,14,7,7,11,12,7,14,3,8,9,10,4,7,1,7,4,10,8,3,5,4,3,5,1,3,5,3,1,2,1,1,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,
10304,嘉義市東 區,中山里,966,2254,1017,1237,2,3,7,8,13,11,8,4,6,12,8,8,8,15,12,11,11,9,14,10,10,7,13,23,9,15,14,22,15,20,11,11,13,16,12,18,16,10,16,16,17,12,11,11,17,11,13,11,16,12,12,9,10,12,11,11,13,23,15,16,11,17,11,16,13,14,13,12,21,16,10,22,11,10,13,11,17,26,15,12,17,15,5,28,16,23,17,17,16,21,20,26,18,22,17,13,6,18,18,19,18,20,14,16,17,19,17,22,16,14,13,15,13,19,12,19,19,29,24,20,13,14,16,14,3,10,9,15,8,11,14,11,4,13,5,18,5,10,6,8,7,14,11,8,19,14,3,6,10,9,3,8,5,14,8,10,6,15,7,8,6,6,7,8,5,14,6,8,2,5,4,4,5,6,3,6,2,5,4,6,3,5,2,1,3,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,
10304,嘉義市東 區,中庄里,1488,4106,1979,2127,10,12,13,10,13,10,14,11,11,12,20,13,20,14,16,24,28,25,29,22,32,34,38,25,44,27,59,38,44,34,33,31,31,36,30,37,43,40,31,23,34,21,29,37,27,25,28,29,15,24,22,30,30,28,22,24,25,34,25,28,24,31,35,28,36,30,34,30,25,34,35,32,24,37,22,34,29,36,17,40,34,39,36,40,36,47,33,43,37,41,35,38,27,30,38,45,33,34,34,33,33,38,27,39,28,30,25,35,25,25,21,30,23,31,18,28,27,26,19,17,21,24,19,38,18,32,26,13,14,17,13,15,7,18,11,13,10,12,10,19,11,11,6,16,9,18,12,13,15,10,13,8,11,11,9,6,9,9,7,8,8,7,1,3,7,6,3,4,3,5,3,1,4,1,4,4,2,1,2,2,1,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10304,嘉義市東 區,仁義里,1299,3720,1762,1958,11,6,18,16,15,9,7,9,18,4,15,13,20,23,19,21,26,17,22,26,27,20,32,32,42,31,50,42,55,28,29,40,37,33,29,31,36,40,33,26,34,31,30,32,23,20,26,30,37,27,24,35,29,23,24,30,25,26,14,28,26,34,18,34,24,23,33,30,20,15,23,32,28,25,33,36,13,25,17,34,19,38,18,39,25,39,25,40,27,34,32,36,26,31,27,36,29,38,30,41,34,31,29,37,21,29,23,33,27,33,17,37,22,26,16,27,22,32,22,20,18,16,20,13,17,20,20,19,9,11,13,19,8,12,7,6,7,3,8,6,16,9,8,8,4,14,5,16,10,7,6,6,8,6,4,7,5,4,4,8,6,5,3,5,3,2,6,3,4,8,2,3,2,3,0,0,0,1,0,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
10304,嘉義市東 區,北門里,1103,2953,1452,1501,13,11,14,13,13,11,15,12,16,15,14,8,18,13,13,17,8,16,9,11,15,13,10,9,16,21,12,26,28,21,19,15,11,19,19,17,17,16,21,12,15,14,17,16,15,21,16,14,11,26,21,14,21,19,17,25,23,14,24,24,15,19,17,16,26,23,24,17,19,25,28,27,21,20,20,24,14,19,11,22,22,22,18,36,19,23,20,18,24,20,21,24,26,11,22,20,14,24,22,17,13,23,30,22,24,17,22,18,19,21,19,16,32,21,18,18,23,16,25,20,23,28,23,20,30,23,17,18,21,20,14,18,20,12,9,13,7,10,8,16,10,14,10,16,14,14,13,15,12,18,8,10,10,11,8,10,18,14,4,13,5,6,4,13,8,8,3,10,9,6,5,11,7,5,7,5,7,5,1,2,4,2,0,4,0,2,1,2,0,2,0,2,2,1,0,0,1,0,0,0,0,0,
10304,嘉義市東 區,圳頭里,1864,5010,2389,2621,17,17,11,11,21,16,14,14,19,11,9,16,20,15,19,21,22,20,20,25,16,20,22,30,29,47,27,38,44,35,40,37,29,35,43,47,40,35,36,27,44,37,52,33,28,33,36,38,44,26,37,35,30,22,31,27,30,30,33,41,37,32,30,32,36,38,30,37,34,42,35,40,37,38,42,38,31,33,30,32,33,32,27,38,41,40,46,41,39,48,46,44,31,49,37,53,41,43,55,48,40,47,44,44,45,44,28,30,30,38,30,35,30,30,42,30,26,33,32,29,29,40,23,35,21,46,18,38,21,27,22,32,16,24,9,26,12,22,8,26,10,25,9,29,10,24,14,36,8,26,11,19,9,22,9,15,9,15,10,14,8,12,10,15,21,5,16,5,16,4,11,5,17,7,12,6,19,4,12,5,7,6,4,0,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,
10304,嘉義市東 區,太平里,2005,5424,2518,2906,22,11,33,31,19,20,29,32,24,36,28,28,28,24,24,27,27,30,37,27,45,40,53,44,49,31,52,46,51,65,41,40,51,46,38,55,50,42,37,39,40,38,33,34,36,38,31,31,30,42,27,35,25,26,24,33,37,31,52,36,33,44,36,37,26,35,36,44,32,44,30,43,41,46,34,59,32,62,33,51,31,42,40,39,28,62,44,70,42,70,45,38,42,66,41,36,45,41,35,55,33,41,39,42,38,43,31,48,29,43,39,41,27,35,36,40,30,34,31,28,32,32,30,25,20,27,19,21,20,30,23,21,13,18,12,13,15,16,14,26,15,19,10,17,8,17,9,15,10,14,9,13,12,20,13,17,12,19,16,11,11,7,7,11,2,8,6,8,9,5,9,10,6,5,6,6,4,5,2,2,0,2,3,2,5,4,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,
10304,嘉義市東 區,安寮里,1194,3156,1556,1600,11,9,10,11,11,9,8,10,7,11,4,6,9,17,9,15,11,12,13,14,8,15,9,17,21,17,19,14,23,18,10,11,18,13,21,13,19,18,23,27,19,19,29,17,21,22,22,16,27,10,28,14,24,19,17,17,27,21,27,20,23,21,25,31,28,27,30,31,22,23,33,27,27,25,19,20,22,22,22,28,29,31,23,20,29,28,24,25,19,28,28,16,23,21,21,23,23,24,22,23,25,31,21,20,17,33,33,20,26,20,25,22,22,30,18,23,27,28,31,29,19,24,26,14,10,27,21,31,22,23,19,20,13,27,18,8,11,12,13,16,11,20,8,15,14,16,10,15,10,14,12,13,7,8,9,8,8,12,8,8,7,11,5,7,3,9,10,5,6,9,2,4,5,5,2,2,0,2,0,1,0,1,1,4,1,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,
10304,嘉義市東 區,安業里,857,2357,1142,1215,8,10,9,8,8,5,5,5,7,7,6,4,4,3,5,5,7,4,12,5,8,12,14,20,22,19,21,23,21,14,22,12,21,17,14,18,10,24,21,23,21,14,20,18,16,20,21,13,25,17,16,19,18,14,14,8,16,21,24,20,17,17,19,20,15,17,18,25,17,13,20,32,16,16,19,22,20,11,7,13,16,16,10,22,16,28,15,16,17,18,14,16,18,13,16,18,21,31,16,21,27,13,21,21,19,17,14,29,20,25,17,18,20,17,14,13,10,23,17,22,14,20,8,12,18,15,16,7,10,13,11,17,11,10,10,8,8,5,3,7,8,8,6,7,6,10,6,9,7,11,6,15,5,10,8,5,5,7,3,6,4,9,2,3,5,4,1,2,5,3,2,3,5,1,1,1,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10304,嘉義市東 區,宣信里,628,1642,836,806,5,5,8,6,4,6,2,6,1,4,6,3,8,6,2,3,4,3,10,5,4,1,5,6,2,6,9,9,12,1,9,11,10,7,8,5,8,9,13,7,11,12,10,10,14,12,11,13,14,11,14,13,10,13,5,13,10,15,12,7,12,10,18,15,11,3,11,15,13,10,12,14,14,10,14,12,11,9,6,7,7,11,12,14,11,11,15,7,15,17,15,10,9,10,16,13,10,10,13,8,8,10,13,8,13,12,20,15,12,16,11,14,14,8,18,15,14,16,10,12,11,11,19,13,11,15,6,15,14,7,9,8,9,10,8,7,7,6,7,8,9,14,11,7,6,11,13,11,8,7,5,5,7,10,10,2,5,3,3,8,9,8,3,7,3,7,6,7,4,5,2,6,1,5,3,3,3,1,2,2,2,1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
