統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,彰化縣彰化市,三村里,343,1369,710,659,3,2,8,5,4,7,3,5,4,2,10,7,2,4,4,8,1,6,5,5,4,10,11,4,3,6,6,6,7,11,9,5,10,3,14,13,5,16,10,15,9,11,11,16,12,16,19,11,11,6,17,8,10,11,13,14,12,16,4,15,13,8,17,12,18,10,9,10,8,8,13,9,14,8,9,7,5,7,10,6,12,9,5,9,8,5,11,10,12,8,12,6,15,11,9,12,12,11,8,3,9,14,11,16,15,15,12,11,16,10,17,10,12,9,10,3,14,13,7,6,10,3,11,3,11,5,6,5,9,11,7,5,4,5,5,6,1,1,4,3,3,4,7,5,2,3,5,3,4,3,6,7,2,5,2,4,4,5,4,3,3,3,4,2,1,3,2,3,2,4,4,3,0,5,0,2,0,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10304,彰化縣彰化市,下廍里,1974,6514,3190,3324,31,21,38,32,39,36,29,35,50,49,51,42,60,42,43,42,44,56,39,45,43,55,62,56,67,66,70,66,61,55,47,36,55,34,50,43,32,39,51,37,49,50,38,42,53,46,47,36,49,42,43,32,32,31,35,32,49,49,34,44,46,55,55,55,40,44,52,52,48,68,57,63,55,59,56,74,45,62,40,72,53,58,55,50,61,61,45,55,45,52,43,57,42,50,40,40,50,43,49,46,50,49,49,45,31,42,39,39,29,38,25,45,39,29,42,29,37,37,31,43,35,44,36,30,37,47,23,41,27,23,20,28,23,21,18,19,19,17,21,15,22,27,12,23,12,21,20,12,16,22,11,15,16,6,13,12,7,8,12,18,6,5,7,12,5,11,9,10,6,5,1,2,6,1,1,6,2,7,2,3,1,0,2,3,1,3,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,
10304,彰化縣彰化市,中央里,367,893,466,427,3,1,0,2,2,6,2,4,3,1,2,1,1,2,4,2,4,1,2,2,0,3,1,1,0,1,1,0,1,3,2,4,5,3,1,3,6,4,4,2,6,1,5,4,2,4,4,2,5,4,14,3,11,2,5,8,7,4,9,9,7,3,9,5,9,12,9,7,5,7,8,5,6,6,9,2,6,3,1,8,8,7,4,3,9,6,4,4,10,6,3,3,6,7,9,10,6,8,5,6,7,1,6,6,7,8,6,6,13,7,4,9,8,8,5,14,12,8,9,8,6,7,10,5,12,10,9,4,4,8,10,2,4,5,9,5,1,3,5,4,8,9,6,6,2,1,5,7,9,3,8,6,5,10,3,3,2,3,5,7,4,4,2,4,0,3,4,3,1,4,2,3,0,1,0,5,3,3,2,0,0,2,0,1,3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
10304,彰化縣彰化市,中山里,351,989,493,496,4,2,8,4,9,4,5,6,6,0,7,6,8,7,6,4,10,6,5,2,5,8,3,4,4,2,5,5,6,2,1,6,4,3,9,4,9,5,3,3,5,2,9,7,14,6,8,7,5,5,8,7,7,7,6,5,13,9,7,7,12,10,8,11,6,16,9,9,10,2,5,8,4,2,4,6,5,6,4,7,5,7,8,11,3,10,9,5,7,6,9,2,7,5,4,9,11,8,5,6,9,7,7,10,5,9,5,9,11,9,5,12,7,11,7,5,7,7,10,2,6,8,5,4,5,8,3,12,4,3,3,5,5,5,2,1,2,3,2,4,1,4,3,2,3,3,8,6,2,4,3,4,4,4,1,3,2,3,0,6,3,6,2,4,2,2,2,1,1,4,4,5,3,1,1,1,2,0,0,3,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,
10304,彰化縣彰化市,中庄里,987,2996,1493,1503,9,10,16,13,14,16,15,13,7,14,8,9,4,4,12,4,9,9,16,7,12,10,15,12,25,19,31,21,24,23,23,19,21,17,20,24,25,18,14,20,18,19,17,13,17,14,15,21,21,18,23,19,25,19,14,26,17,17,35,26,37,24,29,30,37,23,26,33,41,39,33,33,24,26,24,25,30,21,28,30,18,33,33,25,26,27,22,25,22,18,20,21,21,16,12,19,16,17,27,21,20,20,12,17,15,21,15,17,17,25,19,26,14,19,16,17,15,27,17,29,24,20,18,18,18,28,21,22,23,19,17,18,15,9,8,18,14,12,10,16,12,15,16,13,7,10,15,8,7,11,8,11,7,7,9,6,7,5,5,5,3,4,3,9,1,3,3,5,0,3,1,0,4,1,4,2,3,1,1,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10304,彰化縣彰化市,中正里,683,1924,927,997,9,4,4,11,9,9,8,5,6,10,15,6,9,6,8,12,10,9,14,10,11,11,15,14,25,11,20,27,15,18,18,17,12,14,19,13,19,12,13,11,19,11,11,7,11,7,9,11,10,16,16,15,13,12,9,16,16,11,11,20,18,8,10,10,10,20,8,9,11,18,10,14,10,11,16,12,14,15,16,13,4,19,12,13,11,16,11,14,18,21,12,15,11,13,14,20,16,10,11,14,12,17,16,16,15,14,12,17,8,10,17,16,9,13,13,8,7,13,9,16,16,11,9,16,9,13,11,12,7,11,14,8,9,6,1,9,3,4,7,8,7,7,7,7,7,10,3,5,8,9,6,12,2,8,2,9,8,7,6,7,8,5,4,4,5,4,2,3,5,7,7,2,1,1,2,4,1,1,2,1,0,0,0,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
10304,彰化縣彰化市,五權里,1662,5196,2480,2716,26,19,28,33,27,24,26,19,33,15,25,26,23,36,26,22,35,24,33,32,32,33,41,38,46,39,37,37,48,39,36,40,36,44,39,43,44,46,31,41,38,37,41,39,42,36,54,35,32,48,36,34,33,30,36,41,39,35,46,33,52,37,38,38,40,48,38,61,51,46,46,55,33,58,49,52,41,54,51,60,47,40,24,42,32,37,44,31,32,35,32,42,29,40,34,48,38,37,40,35,24,37,32,48,31,42,31,54,36,30,36,39,26,34,29,40,32,38,30,44,19,43,17,34,30,32,31,30,16,25,21,25,22,23,18,17,12,10,8,9,7,12,8,8,19,8,8,10,10,11,8,13,8,8,5,13,5,10,10,9,5,7,4,12,4,5,3,4,3,5,2,4,3,3,3,1,0,2,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10304,彰化縣彰化市,介壽里,1325,3001,1584,1417,7,7,7,10,9,10,15,11,10,7,13,11,15,8,15,11,12,12,18,6,11,10,10,5,2,7,10,7,11,10,10,14,24,11,19,17,22,9,18,14,30,15,19,15,28,13,24,20,18,21,20,18,18,23,26,13,19,17,25,21,18,25,28,16,22,14,25,24,21,23,13,23,23,17,18,14,32,20,13,15,9,19,25,17,21,18,17,23,20,21,26,19,25,23,26,24,39,22,27,27,25,33,29,34,31,23,41,21,38,19,38,38,30,23,29,25,28,24,32,19,20,19,17,24,27,12,20,19,20,14,14,16,9,12,14,19,10,11,12,11,9,8,8,12,10,13,11,18,4,17,8,16,11,19,7,10,5,9,5,12,6,5,8,10,5,20,7,4,10,5,7,11,11,5,8,7,4,10,4,3,5,2,4,2,3,2,4,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,
10304,彰化縣彰化市,信義里,432,1185,546,639,2,2,8,4,2,5,4,3,5,7,6,11,5,10,13,19,9,11,10,13,8,15,9,10,12,9,15,11,12,8,6,11,10,15,11,4,8,6,7,9,10,6,6,6,7,8,8,6,4,6,7,6,3,5,2,4,4,1,3,6,2,8,5,9,5,12,6,5,6,9,5,10,2,7,11,19,3,11,4,12,7,7,6,7,7,5,4,10,10,10,9,6,4,9,5,11,7,8,11,9,7,4,6,8,12,7,7,5,4,12,7,4,5,7,13,9,8,3,12,7,4,6,9,8,9,10,10,10,10,8,6,7,6,7,5,4,1,7,3,1,5,2,6,7,7,2,2,3,6,7,4,3,3,5,4,4,5,4,6,5,3,6,4,7,2,3,0,6,2,0,1,3,2,2,0,3,1,4,2,2,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
10304,彰化縣彰化市,光南里,647,1794,878,916,5,4,11,13,5,7,5,7,8,8,15,14,19,10,13,12,8,15,12,15,8,8,5,3,3,6,8,6,9,7,8,9,14,8,16,8,12,12,12,12,15,8,14,12,12,9,12,7,8,8,20,11,10,18,10,16,17,13,12,14,17,16,15,13,11,14,12,13,16,13,14,15,22,13,16,15,9,13,6,10,13,23,13,16,8,16,9,11,16,14,15,11,12,18,11,19,17,16,11,17,12,14,22,12,9,13,12,15,19,14,11,7,9,15,13,20,11,19,12,10,12,6,13,7,14,10,7,17,7,12,6,8,6,13,10,4,4,4,3,5,9,9,3,3,4,3,7,8,4,5,5,9,3,6,5,3,6,4,3,9,5,9,3,2,2,6,1,6,4,1,5,1,3,3,0,1,3,2,0,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
