統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,花蓮縣花蓮市,主信里,328,822,387,435,4,3,3,4,8,4,2,3,9,2,1,6,5,5,5,5,7,5,4,3,5,4,4,8,12,7,4,11,5,6,6,6,3,4,6,3,9,3,6,6,4,4,4,4,4,6,3,3,5,0,5,3,3,1,2,6,5,7,7,9,9,7,4,9,8,8,5,8,7,11,5,9,2,8,6,6,3,5,2,6,4,6,6,8,10,7,7,7,5,7,3,9,6,3,2,8,3,6,7,6,0,8,4,8,9,7,5,5,7,7,3,4,3,4,5,10,10,7,7,4,4,5,3,4,6,7,9,3,2,5,6,7,2,6,5,1,1,4,6,3,4,2,3,1,2,3,3,4,4,4,4,2,2,0,0,1,0,4,3,3,2,3,0,4,0,1,0,2,1,2,3,2,0,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10304,花蓮縣花蓮市,主力里,1294,3410,1618,1792,13,9,9,8,11,12,5,13,12,14,16,14,18,22,25,17,22,24,29,25,25,17,37,22,20,30,35,22,25,27,25,15,29,33,23,22,25,18,32,19,24,27,32,13,25,19,19,26,22,14,19,21,22,16,19,16,19,23,23,35,20,29,25,22,32,31,23,22,31,32,26,31,32,25,22,44,20,32,21,36,17,28,12,29,19,32,18,30,17,26,20,36,19,24,23,27,31,23,19,27,17,24,23,20,16,28,25,27,17,27,17,21,17,27,23,27,24,34,16,27,26,18,24,31,21,32,27,21,8,19,24,16,9,14,15,15,6,7,15,18,7,13,16,10,11,15,12,14,10,12,8,14,5,9,9,9,3,7,8,9,7,5,7,7,10,7,4,5,2,2,4,3,6,2,5,6,1,1,1,3,1,1,1,1,0,2,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,
10304,花蓮縣花蓮市,主勤里,456,1247,601,646,2,4,2,6,6,3,7,5,7,6,3,8,5,9,5,9,13,10,12,9,9,12,12,12,16,12,13,14,9,18,14,4,8,7,8,12,10,3,8,6,11,6,4,6,13,6,3,4,5,6,8,8,4,7,4,7,7,5,7,5,7,5,10,4,12,12,7,7,10,17,12,10,6,14,7,12,12,5,6,19,5,12,7,11,8,14,10,9,9,8,10,12,6,9,6,9,9,10,7,8,4,2,6,12,8,7,7,7,10,4,7,11,6,11,7,14,10,3,18,2,6,8,5,4,3,7,8,9,7,9,9,10,11,4,9,7,1,5,3,5,6,2,5,8,3,4,4,4,1,10,5,4,3,4,3,2,5,4,2,3,1,3,2,2,1,4,3,4,2,1,4,2,0,0,1,2,1,2,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10304,花蓮縣花蓮市,主和里,1405,3868,1892,1976,12,12,15,22,19,6,20,17,19,16,23,15,27,18,31,18,17,21,33,23,33,28,29,35,32,29,41,35,30,29,29,15,28,21,35,24,26,26,30,27,31,23,18,29,23,20,20,21,23,18,27,16,25,26,23,21,27,20,25,40,31,20,36,22,26,38,31,33,21,35,38,42,21,38,24,36,23,28,29,31,24,33,22,43,31,32,26,32,29,28,38,28,31,18,25,23,22,27,19,23,20,33,24,25,25,29,33,30,23,24,27,30,23,19,27,22,23,33,30,31,20,37,24,34,15,22,21,21,21,29,16,22,14,16,21,11,10,21,12,11,12,17,11,18,7,13,9,14,13,13,6,20,12,11,8,11,6,10,7,10,7,6,6,12,4,5,6,8,3,7,6,2,3,1,4,5,1,3,3,2,3,3,1,0,2,0,1,0,3,2,0,0,0,0,0,1,0,0,0,0,1,1,
10304,花蓮縣花蓮市,主商里,319,894,427,467,2,2,4,7,5,7,4,3,6,0,6,2,5,10,10,11,12,2,6,14,15,10,17,14,11,8,9,9,10,12,4,5,8,8,5,2,6,4,3,3,11,8,7,4,4,6,7,7,1,4,6,6,4,3,4,4,4,6,4,7,3,4,5,3,7,6,6,3,0,5,5,9,8,5,4,17,5,7,6,14,7,9,3,8,8,10,8,3,4,7,5,9,3,7,7,9,2,7,8,7,7,2,6,8,4,4,4,2,6,3,2,6,7,3,4,4,5,5,4,8,6,6,5,4,6,3,3,8,6,5,1,2,4,8,2,3,3,0,0,3,5,3,1,3,2,2,2,2,2,3,3,2,3,2,3,2,2,2,1,1,2,3,1,2,2,2,0,3,1,1,0,1,2,4,0,2,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
10304,花蓮縣花蓮市,主學里,867,2408,1139,1269,7,6,12,12,11,10,10,11,14,11,14,15,20,19,23,19,15,24,16,17,16,16,24,20,20,30,19,19,17,24,14,14,14,12,27,10,16,13,11,18,8,13,13,12,12,13,12,10,23,9,17,20,15,9,11,17,11,13,16,18,19,16,19,24,24,16,18,25,8,30,12,33,18,20,8,30,30,22,14,20,19,19,18,20,13,15,21,24,19,16,20,20,15,15,18,12,13,23,14,19,15,14,16,18,12,17,9,19,11,11,16,13,12,16,14,19,15,22,14,9,15,16,22,15,21,19,17,15,6,15,8,12,15,11,8,6,6,7,8,14,6,4,11,9,6,9,4,6,6,10,4,10,3,10,5,5,4,4,2,3,6,4,3,4,4,5,3,3,0,2,2,5,2,3,0,4,3,4,2,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10304,花蓮縣花蓮市,主安里,1125,3170,1510,1660,12,8,12,7,15,12,15,14,17,12,29,14,20,22,22,24,24,14,21,29,21,21,24,14,19,17,33,33,21,18,25,22,31,21,20,23,27,24,28,28,27,32,18,30,14,20,19,21,19,21,12,19,13,13,13,16,18,18,30,23,24,33,24,25,21,27,18,25,25,33,21,35,16,26,25,30,32,23,28,28,22,35,19,15,26,26,26,28,12,27,23,28,24,31,15,16,15,16,19,18,16,19,15,18,24,22,16,22,24,25,14,20,25,26,22,35,19,22,12,23,17,24,24,22,16,28,20,22,8,23,16,15,10,14,8,12,8,9,11,18,10,10,12,8,14,11,10,5,8,11,9,6,9,6,5,12,8,9,3,5,4,3,2,5,6,5,8,2,5,7,1,5,4,2,3,3,3,1,2,4,0,2,1,0,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
10304,花蓮縣花蓮市,主工里,288,832,398,434,3,2,5,2,4,4,2,3,3,4,11,5,10,9,4,8,8,6,7,9,4,8,11,6,5,5,9,9,7,9,6,2,5,3,8,4,4,4,4,5,4,6,6,5,3,4,4,2,4,5,2,6,3,5,4,5,7,4,5,6,10,9,9,7,5,13,10,8,6,9,5,10,5,7,6,8,8,9,5,9,2,3,7,7,8,7,3,3,8,4,5,6,2,7,7,5,4,5,5,7,2,4,1,6,6,5,5,4,3,5,5,7,4,4,7,6,9,6,6,6,4,3,8,3,3,10,3,5,3,4,6,2,4,1,4,4,4,2,0,0,2,1,2,6,1,2,2,2,1,2,1,4,2,3,3,1,2,2,2,2,0,3,1,5,2,0,0,2,0,2,1,0,0,3,1,1,1,2,0,1,2,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,
10304,花蓮縣花蓮市,主權里,2461,6698,3204,3494,31,21,29,20,30,23,23,29,18,24,34,24,40,28,40,25,36,37,50,36,47,35,54,44,62,49,58,50,47,41,43,51,41,48,51,57,52,41,46,42,47,44,55,53,51,44,47,45,36,43,50,38,40,39,42,45,45,41,60,46,56,49,46,56,57,56,54,60,56,53,48,53,49,58,54,78,43,69,36,64,43,67,40,69,51,76,65,61,41,58,47,57,47,45,56,63,48,54,48,55,40,51,41,42,34,45,50,62,40,54,49,60,44,51,35,57,38,56,46,55,45,44,34,59,33,50,34,36,28,35,29,32,20,33,24,24,15,23,21,16,16,26,13,25,14,12,29,27,14,18,20,24,17,18,9,11,7,10,7,5,8,10,8,10,5,10,6,4,8,3,4,6,8,1,6,5,3,4,4,2,2,3,2,4,1,3,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,
10304,花蓮縣花蓮市,主睦里,288,734,345,389,0,3,2,2,2,9,2,3,4,7,3,7,3,3,3,6,4,0,7,3,4,6,4,5,5,6,2,9,3,7,7,4,3,5,4,4,1,5,6,9,8,5,7,3,2,6,7,4,2,7,6,3,4,3,5,4,1,6,7,6,2,6,6,3,8,9,6,1,6,6,8,4,4,5,8,4,6,8,3,7,7,8,4,9,8,2,8,4,2,8,6,7,5,7,0,9,7,4,6,7,5,6,5,4,7,6,9,1,4,4,2,7,8,4,8,6,5,7,5,7,5,4,6,5,2,3,2,2,3,8,2,2,3,2,1,5,2,1,1,2,2,3,2,1,6,4,3,1,1,2,1,2,3,2,2,3,2,1,0,1,1,2,0,2,0,2,2,0,2,1,0,2,0,1,0,2,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
