統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,新竹市東 區,三民里,2249,6351,2996,3355,30,22,32,28,35,24,38,30,38,35,34,43,43,26,43,40,47,33,38,57,60,55,57,56,57,47,61,70,59,87,53,61,51,52,57,49,51,49,43,47,39,48,49,52,49,34,51,41,37,38,39,46,32,37,24,36,28,37,35,38,46,29,49,41,30,45,36,44,34,61,38,57,44,56,33,65,42,53,35,63,33,43,42,57,39,67,47,62,49,63,45,69,45,52,48,41,48,64,51,38,50,52,39,56,42,40,34,51,51,41,35,41,40,35,44,37,35,38,37,46,33,22,37,43,30,30,25,20,29,22,20,31,12,21,11,19,16,13,13,13,14,18,13,17,13,20,11,29,13,17,16,17,14,18,15,19,13,11,7,12,10,11,10,13,16,17,9,11,7,14,3,9,4,7,7,12,8,6,4,6,4,2,3,2,4,0,1,2,0,1,0,1,0,0,0,1,0,0,0,1,0,2,
10304,新竹市東 區,下竹里,238,630,311,319,4,7,9,3,4,1,3,1,2,2,1,3,1,6,1,2,3,3,1,1,2,2,4,1,0,0,1,1,7,2,2,2,1,3,2,1,3,4,1,3,3,1,6,1,5,5,4,2,3,2,5,1,3,4,1,3,4,6,9,7,7,5,9,8,2,6,13,6,5,6,6,4,11,10,8,6,5,2,3,5,2,3,6,7,3,7,3,1,4,4,2,3,6,4,3,7,6,2,6,2,4,4,1,4,5,1,2,3,4,6,3,4,5,8,4,2,3,6,2,11,7,3,6,3,3,4,5,13,1,2,5,2,2,6,4,4,0,6,1,4,5,4,3,2,4,3,2,1,1,5,4,4,2,3,3,6,0,2,3,4,5,0,0,3,1,1,3,0,0,1,1,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
10304,新竹市東 區,中正里,288,762,357,405,5,4,4,2,4,5,4,4,3,3,1,1,10,7,6,8,5,5,11,10,7,4,6,12,8,8,6,7,5,7,6,3,4,9,4,6,6,9,7,3,3,3,9,4,2,7,3,3,2,10,4,2,4,2,4,5,4,6,2,7,3,2,6,5,4,12,3,7,2,8,3,7,10,7,1,7,4,7,6,4,5,6,4,7,3,3,7,7,0,5,2,6,11,11,7,9,7,7,3,6,4,4,6,7,5,6,3,2,3,6,7,4,5,6,7,5,3,4,7,2,3,4,6,5,6,3,6,2,1,2,2,2,3,3,2,1,5,2,3,1,4,2,3,1,2,2,0,1,0,2,2,2,3,2,0,2,2,3,6,1,2,5,2,1,1,2,0,1,0,2,1,2,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10304,新竹市東 區,仙宮里,622,1517,767,750,7,6,15,15,7,7,10,15,9,9,7,8,10,10,8,7,6,10,3,7,9,7,12,6,8,7,9,7,12,6,14,7,12,12,8,7,15,14,8,15,11,9,10,6,7,13,13,7,9,6,11,5,8,13,6,8,9,6,6,10,14,13,12,10,14,15,18,20,18,16,26,22,17,13,19,18,14,12,22,14,16,13,15,8,14,12,21,17,14,9,19,20,12,11,12,19,7,19,13,5,16,15,11,7,13,12,9,6,8,10,6,10,7,5,6,8,9,12,5,8,5,5,7,7,6,11,7,9,2,7,6,5,3,4,8,6,2,3,4,5,2,4,0,6,2,3,4,1,2,3,2,2,3,2,1,3,1,1,1,3,0,2,1,4,2,2,1,1,1,0,1,1,0,1,2,0,1,0,1,2,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10304,新竹市東 區,仙水里,2002,5924,2931,2993,40,33,53,57,61,54,42,31,62,52,55,60,68,48,44,42,59,48,69,45,52,53,59,61,47,40,59,57,59,44,57,40,43,38,29,42,39,29,34,35,37,32,25,30,30,34,28,33,29,33,35,32,32,20,41,32,33,28,29,40,28,29,38,49,55,53,39,58,60,57,40,72,58,71,62,90,56,67,57,72,55,63,69,73,60,68,45,72,66,66,51,45,45,50,38,44,49,35,48,37,36,44,44,43,41,37,37,28,37,34,33,26,27,30,24,36,24,28,26,19,16,17,22,20,21,22,14,16,11,11,11,13,7,20,9,9,6,8,4,16,9,14,7,9,9,14,8,6,9,7,2,5,5,6,5,6,4,4,6,7,2,6,5,4,4,6,5,5,4,8,4,2,8,3,4,2,3,1,2,2,4,1,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
10304,新竹市東 區,光復里,954,2936,1457,1479,20,16,17,12,14,5,11,12,11,18,20,14,16,23,18,23,24,23,29,16,21,30,27,22,38,28,33,30,25,20,21,18,25,17,27,17,23,20,24,16,26,22,18,29,19,18,20,21,20,16,13,15,13,20,18,12,22,13,23,16,20,20,29,32,22,16,20,21,27,18,16,21,19,27,25,38,20,19,11,25,22,27,15,20,22,26,27,16,27,30,22,29,30,35,26,36,16,24,31,20,22,23,33,30,14,20,25,8,27,21,15,21,17,19,19,14,13,16,16,17,12,17,8,10,10,10,6,9,12,14,9,13,2,7,12,6,4,7,6,9,5,10,8,6,4,7,4,7,9,8,9,15,7,12,4,6,6,7,7,4,4,9,2,6,4,4,3,6,6,5,1,0,2,3,3,2,1,4,1,2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
10304,新竹市東 區,光明里,1583,4111,2014,2097,10,15,24,16,18,19,17,19,19,21,18,25,29,26,29,19,30,27,33,32,31,38,42,30,44,38,42,47,37,42,44,35,34,42,29,28,30,27,34,27,42,23,21,29,24,30,29,30,28,18,28,26,26,17,25,14,23,27,20,30,24,21,16,29,24,19,15,17,20,23,25,30,17,17,18,30,21,40,20,28,22,37,29,40,26,48,38,51,30,35,47,42,34,38,35,33,29,46,37,38,44,33,42,29,34,42,39,30,34,21,36,24,31,29,18,31,30,33,24,25,34,27,16,24,31,30,23,21,13,21,25,10,12,14,15,11,12,5,7,11,9,7,4,15,5,6,2,13,8,8,8,7,5,11,4,6,3,7,9,7,0,2,5,7,6,7,3,2,3,4,1,6,3,9,2,1,9,2,4,5,5,5,1,2,3,2,3,3,0,1,0,0,0,0,0,0,0,1,1,0,1,1,
10304,新竹市東 區,光鎮里,1386,4173,1995,2178,15,24,29,30,27,28,23,16,23,19,14,21,23,36,27,22,28,18,18,15,19,14,28,18,18,21,23,27,17,19,18,19,30,28,27,32,29,34,28,26,21,28,21,28,35,34,25,24,30,47,31,33,23,25,28,20,31,28,28,41,35,42,34,26,29,43,33,50,38,50,33,30,37,34,46,44,39,39,23,30,31,33,26,13,40,33,38,33,36,36,30,33,29,33,31,25,31,31,32,28,30,31,19,35,43,31,26,30,26,27,20,38,22,26,28,33,21,27,33,25,16,34,23,32,21,35,21,23,17,18,15,31,15,19,17,23,10,11,18,24,16,14,20,16,6,23,16,21,10,7,3,7,6,9,10,8,5,4,7,6,5,9,5,7,2,6,5,1,10,5,5,1,4,3,2,2,4,3,0,3,1,0,0,2,0,2,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
10304,新竹市東 區,公園里,1527,4218,1998,2220,19,22,19,19,26,24,17,17,25,22,34,23,23,22,40,34,41,35,40,38,57,38,51,57,47,48,61,49,54,52,39,35,27,38,20,44,33,30,35,21,18,27,26,22,17,19,26,17,20,17,19,16,20,15,17,15,12,29,17,19,19,22,32,21,28,24,26,39,36,37,32,46,29,40,27,60,37,35,33,52,26,57,29,43,32,60,36,54,27,47,49,47,37,29,30,52,32,20,36,43,31,26,23,34,24,20,30,28,21,15,15,15,14,18,23,17,20,21,24,22,14,22,17,20,11,13,6,18,17,12,18,18,16,14,7,5,5,9,7,11,6,9,2,14,8,6,5,9,6,15,6,12,8,7,13,9,8,12,6,3,8,9,5,12,5,9,4,7,7,7,5,4,6,4,2,3,3,5,1,6,3,3,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,
10304,新竹市東 區,前溪里,994,3706,1902,1804,21,15,29,24,17,24,20,15,19,21,26,27,26,14,33,27,28,23,27,21,30,27,35,25,37,34,31,29,34,26,22,26,30,14,24,27,30,31,28,26,15,26,25,33,20,33,27,30,33,25,25,28,29,30,17,28,29,19,23,31,28,24,29,28,32,37,39,37,34,42,37,27,25,26,31,35,30,29,26,33,30,21,25,25,25,17,28,13,25,21,25,23,33,18,24,26,23,19,37,31,23,26,25,25,31,22,34,20,24,21,25,18,21,20,22,26,24,19,21,27,27,22,18,13,21,20,22,18,10,13,16,23,12,13,10,9,11,7,14,10,4,18,14,7,10,8,12,10,8,6,8,11,7,5,5,11,5,11,5,5,3,7,10,5,6,7,3,3,3,5,2,8,3,4,1,1,0,2,0,3,1,1,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,
