統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,金門縣金城鎮,北門里,1429,4612,2377,2235,25,19,26,22,23,22,22,26,19,14,16,19,21,13,22,18,17,13,16,15,25,17,23,13,19,19,40,18,20,23,22,16,29,17,29,38,24,29,24,23,36,25,37,34,33,49,49,41,35,30,40,31,41,37,29,33,27,37,40,30,31,42,28,47,39,36,27,35,37,35,36,28,35,39,32,35,34,25,32,39,35,29,34,28,36,44,41,42,33,33,44,40,37,35,28,40,51,32,40,35,45,28,41,35,42,31,44,44,48,53,44,37,41,29,49,56,27,42,39,38,43,30,45,33,37,27,27,18,25,28,25,21,20,17,16,16,24,11,9,15,14,11,14,9,18,13,7,12,10,14,9,11,14,7,8,12,5,13,7,7,8,4,4,8,6,10,3,2,3,3,2,2,1,5,4,5,2,2,3,4,0,1,0,5,0,3,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,
10304,金門縣金城鎮,南門里,1872,5931,2916,3015,29,36,42,40,33,24,24,21,27,21,27,22,19,27,23,16,17,22,18,16,28,18,18,27,26,29,31,26,25,25,10,28,41,36,37,31,43,60,35,39,39,47,32,52,36,34,50,43,45,39,38,52,47,51,50,40,42,53,56,52,53,55,51,54,54,54,49,58,56,57,43,56,36,47,44,56,37,46,35,41,48,38,50,46,38,49,46,41,56,30,36,40,44,40,42,52,58,48,44,52,49,52,51,49,49,39,47,44,61,51,60,41,56,42,55,53,32,45,50,62,51,37,45,53,36,35,33,35,28,23,17,27,20,24,20,17,11,12,13,10,20,18,14,18,20,14,16,15,15,25,12,22,21,16,15,11,15,16,10,10,15,8,11,16,8,8,4,15,2,9,4,9,4,8,1,3,3,9,0,4,3,6,2,4,0,3,3,2,0,1,2,2,0,2,0,1,0,0,0,1,4,1,
10304,金門縣金城鎮,古城里,1124,3678,1839,1839,27,20,26,20,23,18,20,16,21,23,7,11,15,10,9,14,10,12,13,5,10,10,15,6,10,5,13,7,9,10,12,9,18,18,16,20,26,20,30,16,29,29,15,24,23,30,25,22,23,24,33,28,18,31,30,33,30,32,30,36,29,34,29,41,32,35,22,39,36,31,35,31,22,40,20,30,26,32,27,25,33,24,32,34,25,36,41,32,30,27,31,22,39,30,39,41,31,36,28,38,32,26,26,28,37,33,37,24,34,34,27,24,37,35,44,24,30,30,33,34,18,26,26,29,16,13,22,24,20,20,16,21,14,9,13,9,6,9,7,11,13,7,7,12,9,10,12,9,10,11,11,13,9,9,16,5,6,9,16,9,9,5,6,6,2,5,3,7,1,4,2,5,6,1,2,8,3,5,1,3,1,1,0,6,2,2,1,2,0,1,1,0,1,0,0,0,1,1,0,2,0,1,
10304,金門縣金城鎮,東門里,1661,5516,2726,2790,23,30,33,28,35,32,19,25,26,23,24,14,19,21,17,29,24,26,23,23,23,21,28,31,18,27,31,22,23,24,28,25,22,31,33,25,29,29,36,45,45,35,50,44,38,48,39,45,34,46,45,41,50,38,47,39,41,40,33,50,37,37,44,41,35,44,38,51,36,46,49,46,32,42,34,39,34,50,31,41,37,45,35,36,47,41,52,45,37,43,54,58,50,50,47,45,55,58,58,50,61,51,59,57,46,44,53,52,57,48,76,50,52,35,43,36,36,42,50,49,53,35,33,39,22,34,34,27,20,21,23,20,22,17,14,11,13,17,19,16,11,12,14,18,12,12,13,19,12,14,11,18,9,14,11,11,14,11,13,11,5,13,8,5,5,8,5,9,5,10,0,8,4,6,1,4,2,3,3,1,1,5,0,4,1,2,0,2,1,2,0,0,0,0,0,0,0,0,0,2,1,0,
10304,金門縣金城鎮,珠沙里,880,2806,1460,1346,15,9,11,9,11,5,8,9,3,7,9,9,5,4,6,4,11,5,8,11,9,9,5,5,6,9,8,12,7,9,11,5,12,15,11,12,11,20,23,22,24,14,27,21,23,18,22,21,25,18,27,28,21,23,31,15,27,18,20,24,16,22,16,22,19,24,28,22,18,21,19,26,18,19,29,17,16,18,18,20,15,12,18,13,23,16,28,22,23,20,28,21,28,17,25,26,37,29,31,23,30,29,28,30,24,27,25,28,37,36,32,21,31,30,28,24,33,31,28,24,9,17,27,17,24,17,14,21,20,11,18,12,7,17,4,4,14,6,8,10,13,9,8,8,5,10,12,6,11,10,7,2,12,10,11,15,8,8,7,5,4,5,5,7,3,5,7,3,2,4,2,4,0,4,1,7,1,3,3,1,2,2,0,0,3,1,1,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,
10304,金門縣金城鎮,西門里,3330,10716,5294,5422,66,54,66,64,59,60,39,42,67,54,40,45,50,34,33,27,47,45,41,40,53,32,44,40,48,38,65,64,60,55,50,51,64,56,75,67,77,74,59,78,70,75,72,92,69,81,86,97,92,70,94,89,84,76,88,72,91,89,73,101,95,73,77,101,82,106,83,125,95,101,81,105,74,90,92,95,71,76,62,75,82,59,93,74,87,87,86,75,73,104,82,74,81,69,75,96,86,99,94,96,86,102,83,87,101,73,72,95,97,93,73,83,106,86,80,90,89,89,86,85,73,68,77,82,70,64,50,61,52,56,47,36,31,34,36,34,32,29,27,30,37,34,43,29,29,29,20,22,27,25,18,18,22,20,21,22,17,23,15,12,10,17,16,11,14,15,7,10,9,15,9,17,5,13,1,8,3,11,6,11,4,11,2,5,7,6,3,6,2,2,3,2,1,2,0,1,0,2,0,1,2,3,
10304,金門縣金城鎮,賢庵里,1345,4426,2289,2137,24,26,24,18,19,23,20,9,14,10,7,14,14,12,11,8,13,11,14,14,9,16,14,6,15,18,19,15,21,11,18,14,13,24,26,21,32,16,25,28,24,39,34,36,43,37,39,49,45,42,29,33,41,34,37,38,43,33,32,37,36,41,43,35,42,29,33,33,32,37,28,43,34,30,28,33,32,39,40,19,29,33,33,30,47,38,38,32,35,31,41,40,32,35,47,30,43,45,48,38,50,53,46,39,44,37,47,35,45,42,40,29,46,53,50,31,39,36,46,40,32,33,32,26,27,25,43,21,22,14,29,16,17,3,10,11,11,10,12,8,20,11,15,8,7,7,8,10,11,9,12,9,11,17,5,7,3,11,8,5,4,11,7,16,3,10,5,8,2,6,2,5,0,4,8,4,1,6,1,8,1,3,1,4,1,3,1,3,0,1,1,1,0,1,1,0,0,0,1,0,1,4,
10304,金門縣金城鎮,金水里,636,2027,1045,982,9,5,16,5,8,12,7,7,7,6,3,3,7,2,5,2,4,1,3,1,6,4,6,3,4,3,9,7,6,5,8,8,10,14,9,17,15,15,10,17,13,19,14,14,15,19,16,14,15,13,13,17,14,26,16,15,11,19,17,14,19,12,20,21,23,19,18,19,21,10,20,18,16,10,18,11,15,12,8,12,17,16,19,13,13,13,17,14,18,18,21,10,13,8,8,18,21,32,19,19,18,27,18,18,25,19,21,15,22,13,17,16,28,20,23,11,22,25,27,14,12,14,19,14,16,10,12,19,10,14,13,10,8,5,4,1,1,7,2,5,1,8,9,3,4,4,10,6,4,3,2,6,5,2,8,3,6,7,6,3,7,2,5,6,5,5,3,4,3,6,2,5,1,3,2,6,1,2,1,2,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
10304,金門縣金沙鎮,三山里,598,1900,950,950,6,6,7,6,3,13,5,7,4,8,3,2,6,3,4,4,2,5,7,4,9,7,3,3,9,4,6,5,5,11,5,6,9,7,12,10,11,14,17,9,13,11,15,17,14,11,14,20,11,15,11,18,13,12,11,12,11,15,11,12,14,11,13,18,16,14,15,11,13,10,10,14,9,15,13,10,10,18,9,13,20,15,16,16,12,13,23,19,16,11,17,17,18,15,23,26,14,16,23,17,20,24,16,17,16,16,27,23,16,18,18,13,21,21,19,14,13,16,16,15,10,14,11,7,15,6,11,9,8,5,9,8,10,7,7,5,6,9,2,3,5,7,13,8,5,13,6,5,7,8,10,3,8,11,4,6,11,9,8,3,11,7,3,3,11,6,2,4,2,4,2,3,1,3,3,0,2,6,0,1,1,0,1,2,0,2,0,2,1,2,0,2,0,0,0,0,0,0,0,0,1,4,
10304,金門縣金沙鎮,何斗里,634,2051,1003,1048,13,12,10,6,8,8,10,6,3,3,5,2,9,5,4,5,7,6,10,4,10,5,8,12,6,6,13,10,9,7,8,5,10,12,11,18,10,7,9,26,14,16,14,9,15,23,18,20,18,11,23,15,22,21,9,19,20,17,19,12,14,17,15,17,12,18,21,25,8,22,11,14,11,25,14,20,15,13,12,17,13,15,13,18,14,19,15,17,16,15,18,13,15,15,23,16,19,17,23,24,13,13,25,16,12,19,12,15,18,26,16,15,26,14,18,18,16,17,21,14,17,12,8,11,9,13,12,13,10,11,16,6,5,7,6,7,8,3,6,9,6,4,5,8,7,8,2,3,5,7,4,3,10,5,5,3,5,6,6,11,6,4,2,6,2,2,2,3,2,2,3,4,1,3,1,3,2,5,0,2,1,3,2,2,0,2,1,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,
