統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,臺東縣臺東市,中山里,403,1091,528,563,4,8,9,11,9,13,12,9,11,13,12,13,8,10,5,11,7,5,7,7,6,2,8,6,3,5,5,3,6,9,2,3,6,6,7,7,4,3,3,4,10,6,9,3,4,2,6,4,3,2,8,6,9,7,8,3,2,9,8,5,9,3,10,7,7,13,9,7,6,8,8,11,3,12,7,16,5,11,7,6,9,7,12,10,3,6,6,8,10,5,6,6,6,11,8,5,6,6,3,8,4,4,5,7,8,8,14,4,7,3,7,12,12,5,5,8,9,10,10,6,4,8,9,4,5,6,8,13,9,7,4,6,6,5,6,5,2,5,3,5,4,3,3,3,4,3,4,3,4,7,1,5,3,4,3,5,2,6,2,2,2,4,2,5,2,2,3,3,2,4,2,2,0,3,2,2,0,1,2,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10304,臺東縣臺東市,中心里,1337,4198,2042,2156,17,18,26,13,13,18,22,17,17,17,27,17,23,29,32,26,36,42,35,36,48,49,64,49,62,43,56,42,43,46,33,33,37,28,41,31,34,40,32,36,46,29,25,28,30,25,31,21,30,23,30,27,16,34,21,14,17,18,22,27,25,27,26,23,29,36,28,23,15,30,26,44,24,36,35,40,25,32,21,27,19,27,22,30,23,41,20,26,28,26,36,27,32,36,23,35,23,33,27,44,29,28,31,31,32,26,39,28,32,32,23,29,26,16,23,28,23,24,23,26,21,32,18,29,24,31,16,16,11,17,16,23,13,18,16,15,9,13,9,14,16,15,6,12,13,13,5,9,9,15,7,12,9,11,5,7,5,8,6,8,7,6,11,3,5,5,3,11,4,5,3,5,5,3,3,2,3,3,3,1,2,0,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,
10304,臺東縣臺東市,中正里,387,933,461,472,2,0,3,4,2,1,2,2,1,2,2,1,0,0,2,0,1,2,3,0,0,2,2,2,2,2,3,1,6,2,2,2,4,4,5,2,8,4,4,5,8,8,5,7,8,8,3,7,3,7,6,5,6,7,5,4,9,4,12,9,8,6,10,9,6,9,11,7,7,5,7,7,4,8,7,9,7,5,8,5,4,4,7,3,5,12,7,7,8,5,2,6,4,8,9,5,3,4,7,9,7,7,5,6,6,16,7,8,9,4,12,7,5,9,12,15,5,4,7,9,9,8,10,8,7,14,12,12,11,5,7,9,6,4,5,3,3,2,5,3,4,7,6,8,5,4,1,4,2,3,5,4,5,6,4,6,4,7,8,8,0,3,3,2,4,1,0,3,0,3,3,2,1,1,1,2,1,3,3,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10304,臺東縣臺東市,中華里,727,1958,1000,958,4,7,7,12,8,9,6,5,8,8,4,8,10,6,7,8,5,6,10,9,7,3,4,4,4,4,8,5,9,8,6,6,18,10,15,13,19,15,9,15,11,11,18,13,18,13,11,11,12,12,9,24,17,10,18,14,15,13,18,8,14,15,18,13,16,14,27,19,12,16,21,12,17,15,24,15,14,7,12,11,20,15,17,15,26,10,13,21,18,12,12,14,15,15,17,8,24,20,11,16,11,21,15,8,17,15,12,17,17,15,14,6,21,19,14,11,15,16,12,23,14,12,20,12,11,13,8,21,7,16,8,12,7,11,8,8,6,10,8,8,6,10,2,10,11,9,10,6,7,10,7,6,1,6,6,6,7,4,2,3,8,6,1,6,2,4,5,3,4,3,3,4,0,5,1,3,1,3,1,0,2,2,0,0,2,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,
10304,臺東縣臺東市,仁愛里,341,849,431,418,6,2,4,2,1,3,1,2,0,4,3,4,4,5,2,0,3,3,1,1,0,1,2,2,1,0,4,1,2,2,0,6,3,4,6,9,7,4,3,4,7,6,5,5,8,11,6,5,5,8,10,7,3,10,6,5,9,4,13,10,14,5,6,8,3,8,10,4,9,5,5,4,6,4,6,6,9,5,6,5,7,4,1,1,5,7,8,3,8,4,6,1,7,8,7,6,4,6,8,5,4,11,11,9,9,4,6,8,8,7,11,13,8,5,17,12,4,9,6,5,10,4,13,7,3,6,8,6,4,5,4,7,5,9,2,5,2,1,4,3,5,1,4,1,3,3,1,3,3,5,2,5,2,5,1,3,0,2,3,3,1,3,2,0,0,3,1,3,0,1,0,1,2,4,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
10304,臺東縣臺東市,光明里,1299,3447,1599,1848,15,17,14,12,12,14,12,16,7,10,16,20,17,14,29,26,31,31,45,32,38,31,44,49,33,55,44,40,47,32,30,37,27,35,32,25,31,33,20,33,26,22,19,27,16,22,22,12,18,11,13,21,18,13,18,16,21,15,14,17,19,17,13,20,24,31,19,25,20,24,25,43,18,29,16,34,30,39,21,23,25,26,27,40,35,57,33,38,29,48,39,33,38,32,35,32,25,34,22,26,14,34,16,21,27,20,16,17,17,22,17,22,26,20,12,15,12,25,9,19,15,16,16,22,14,15,12,20,6,18,5,16,7,13,9,8,6,9,5,6,7,10,8,13,5,5,9,3,4,11,2,9,6,4,7,4,5,6,4,2,6,4,3,5,4,3,7,4,3,3,4,4,5,0,1,2,0,2,1,1,2,0,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10304,臺東縣臺東市,卑南里,1201,3087,1560,1527,14,8,18,7,9,8,11,9,8,3,12,14,12,7,6,14,7,8,11,6,11,11,7,8,13,7,19,13,20,12,16,21,17,34,36,21,24,23,31,20,25,16,22,20,18,22,29,21,22,25,24,17,16,20,14,21,22,32,25,14,26,18,35,27,28,27,21,29,17,31,23,28,26,20,27,28,28,25,28,23,23,34,28,29,32,20,29,25,26,33,31,31,32,26,30,24,33,25,35,24,26,32,28,28,29,33,20,18,29,23,23,25,17,19,17,18,24,28,15,17,25,22,29,19,14,19,16,16,9,7,10,19,11,15,10,11,8,12,11,3,9,13,11,16,11,9,9,13,6,16,6,8,11,8,4,7,8,8,8,12,4,2,0,6,6,5,3,1,4,1,4,4,2,5,2,8,1,1,0,2,0,3,0,2,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
10304,臺東縣臺東市,南榮里,1085,3059,1636,1423,7,12,14,17,12,8,9,6,15,12,10,6,17,12,10,7,11,10,11,8,15,5,16,17,8,12,24,17,20,15,17,21,26,27,20,23,30,21,35,22,20,19,18,24,24,28,26,16,27,11,22,21,22,12,23,21,18,15,30,22,18,16,22,20,28,17,24,23,21,22,29,21,25,29,25,32,28,23,15,31,36,25,26,22,28,28,32,22,17,28,31,22,30,25,26,15,30,18,34,29,25,20,32,26,24,25,20,17,16,26,27,15,25,17,18,18,19,19,13,20,15,22,15,25,22,22,15,16,16,28,11,14,15,8,8,13,12,10,8,6,8,12,7,5,10,12,9,6,8,9,5,9,5,5,5,7,5,3,5,7,5,12,8,4,8,5,11,5,8,6,8,2,10,4,10,2,9,2,13,1,5,2,7,0,7,0,6,1,2,0,1,0,1,0,3,0,2,0,4,0,3,0,
10304,臺東縣臺東市,南王里,1120,3048,1570,1478,10,8,14,10,13,12,8,12,9,7,12,5,10,7,7,7,13,6,10,7,16,6,10,15,11,10,20,14,28,22,19,13,20,27,29,22,20,23,36,14,24,24,35,22,26,24,23,25,23,20,27,25,28,9,17,25,27,13,23,25,18,21,28,16,28,22,23,18,25,19,21,20,29,20,22,16,29,31,15,21,13,26,27,17,21,16,18,22,25,26,30,15,31,31,33,24,27,37,28,25,29,29,27,30,18,21,21,21,34,32,32,27,23,21,20,22,21,36,16,24,12,23,12,18,24,21,24,25,19,18,19,12,7,14,12,13,9,12,6,7,11,9,9,13,6,12,7,11,10,14,14,10,3,13,5,8,7,8,6,11,8,6,2,3,5,10,7,3,7,1,6,1,4,1,3,5,0,2,1,1,1,1,1,0,0,3,1,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,
10304,臺東縣臺東市,四維里,289,739,401,338,6,1,6,3,4,2,2,2,5,1,2,3,0,2,4,4,2,1,0,1,4,2,2,3,2,2,7,4,6,5,6,2,3,6,4,7,4,6,4,6,7,5,5,2,7,1,6,6,5,5,11,5,6,6,4,8,6,9,4,3,4,3,3,0,6,6,6,5,8,5,6,6,6,4,7,3,8,4,3,2,8,7,9,5,5,5,4,10,7,2,6,6,5,6,11,4,6,6,8,5,10,9,8,5,12,9,11,5,3,2,5,3,6,5,9,7,3,3,4,0,6,1,3,3,3,9,5,4,4,6,1,2,6,3,4,4,0,5,4,7,6,2,0,3,6,6,3,3,0,2,2,4,4,4,1,5,3,3,0,0,1,2,0,0,1,0,1,1,2,1,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
