統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,基隆市中正區,中正里,1026,2269,1219,1050,3,4,2,3,4,4,4,2,5,3,5,3,4,5,0,8,3,5,5,8,7,4,6,8,6,5,7,9,16,3,6,9,13,8,10,8,12,9,8,14,15,16,14,10,14,6,20,14,15,14,17,20,22,21,23,16,20,16,17,14,14,14,14,14,22,15,20,9,19,20,11,15,13,14,17,12,16,11,25,19,14,22,18,18,18,18,23,14,21,10,33,8,23,16,18,20,21,19,26,19,20,20,24,22,33,18,24,19,20,22,26,18,23,18,27,17,30,13,25,29,17,16,24,17,21,17,15,17,16,15,11,22,16,16,13,18,8,10,10,9,11,9,9,13,12,11,7,14,7,7,4,8,7,8,6,6,6,3,11,3,7,8,8,7,5,3,4,2,1,4,2,1,6,2,6,4,1,3,0,2,1,0,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,
10304,基隆市中正區,中濱里,629,1518,808,710,5,5,5,4,5,5,4,0,5,4,4,4,6,1,5,3,3,4,7,4,6,4,3,6,7,6,3,5,10,9,8,6,8,5,12,5,20,7,9,7,13,10,16,7,9,13,13,9,10,6,8,12,12,11,14,11,9,11,9,11,12,7,11,8,20,21,15,11,14,10,16,7,12,11,6,7,10,10,9,7,17,9,9,11,16,7,12,10,10,10,12,9,11,6,12,7,7,14,15,7,17,14,12,12,14,11,5,9,22,12,20,17,12,17,9,11,8,11,9,13,10,14,12,11,12,14,13,7,11,13,10,22,12,13,7,7,1,4,6,10,7,9,10,9,4,4,8,4,7,7,7,6,4,6,3,0,4,7,5,3,3,1,1,2,2,5,5,4,4,2,4,0,1,3,3,3,1,2,3,1,1,1,2,1,0,1,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,
10304,基隆市中正區,中砂里,579,1292,657,635,2,0,5,4,2,6,3,6,0,2,1,3,1,6,3,2,4,1,4,5,2,0,6,2,5,3,5,5,9,4,4,4,10,8,10,5,11,2,5,7,5,7,5,5,12,9,9,11,5,10,7,8,4,5,2,7,6,3,7,4,8,5,10,10,12,11,9,12,12,10,12,7,8,10,9,8,7,5,13,13,7,8,13,8,9,5,10,10,11,11,16,7,7,11,7,4,19,9,14,11,12,14,14,19,8,5,16,10,10,14,12,10,13,16,8,10,14,10,3,16,11,10,10,9,14,11,11,9,3,9,10,15,12,4,4,8,1,7,3,3,5,9,12,10,6,9,10,9,8,5,5,6,1,7,6,11,3,6,6,8,4,2,0,2,5,4,4,1,2,2,7,2,3,2,1,2,4,4,3,2,3,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
10304,基隆市中正區,中船里,609,1496,767,729,3,4,4,1,5,3,3,2,3,2,7,4,7,2,3,5,5,3,5,4,12,9,10,16,16,8,10,8,13,8,9,2,8,6,12,7,11,11,12,9,14,11,12,9,15,9,12,5,12,6,10,5,9,8,2,8,11,4,7,10,12,8,5,10,10,17,12,9,6,14,9,13,16,10,11,12,10,7,12,13,15,12,11,15,10,12,12,12,15,10,14,18,11,9,11,8,17,10,20,12,8,11,14,13,10,13,13,12,13,10,17,10,8,8,12,15,11,13,11,8,9,9,13,10,7,13,8,13,6,6,7,7,4,12,5,8,4,8,1,7,6,5,3,7,8,10,2,6,7,11,5,6,5,9,3,6,5,5,6,7,1,4,3,7,2,4,5,2,5,3,2,1,1,1,3,4,4,0,4,0,0,0,1,3,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
10304,基隆市中正區,信義里,465,1086,541,545,4,1,2,1,3,2,2,2,1,0,1,0,1,3,1,2,2,2,1,2,4,3,5,3,8,8,10,8,4,2,5,8,7,4,8,10,7,6,3,7,6,11,14,3,7,8,5,6,5,7,9,9,7,3,5,4,3,6,8,10,2,7,7,5,8,12,7,5,7,9,6,12,9,1,2,8,10,6,11,7,5,8,10,5,10,6,8,9,4,10,7,9,13,5,12,7,8,8,6,7,6,9,9,15,7,9,13,9,7,10,14,10,13,6,1,6,10,10,8,11,11,11,11,13,8,11,9,6,12,6,1,6,7,4,8,12,2,3,7,2,8,5,4,7,3,6,7,6,5,4,4,9,5,4,2,2,7,9,5,6,4,2,3,1,3,3,6,3,1,4,0,5,0,1,2,2,3,3,0,1,0,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,
10304,基隆市中正區,入船里,452,1078,541,537,2,3,0,3,7,3,3,0,2,4,4,1,3,1,2,3,2,2,4,0,4,5,7,11,12,13,8,8,3,8,10,6,5,3,8,4,6,10,5,4,4,5,9,10,5,2,8,8,6,5,7,5,11,4,6,6,7,6,7,7,4,4,7,8,10,7,4,3,8,7,6,8,7,6,9,10,6,7,12,8,12,10,10,5,10,6,8,9,6,6,4,10,7,6,5,8,11,11,10,7,12,4,9,9,8,6,13,8,12,16,8,11,4,14,9,6,10,12,6,11,4,6,12,8,9,7,3,8,6,11,7,8,7,6,5,2,1,5,4,4,3,5,3,5,5,7,5,2,1,6,3,8,5,4,5,4,2,4,7,8,5,4,2,4,4,3,3,3,4,1,4,3,0,2,0,2,1,2,2,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
10304,基隆市中正區,八斗里,642,1785,956,829,1,5,5,7,4,6,5,3,5,7,4,6,5,4,8,8,4,8,7,4,6,5,4,5,11,2,14,13,8,8,15,6,13,5,10,14,11,9,17,4,11,10,7,11,11,16,22,9,11,13,14,15,19,21,14,18,10,15,26,12,20,13,26,16,19,17,18,7,14,13,10,13,5,9,13,9,11,9,17,7,9,15,11,11,16,10,9,5,14,7,14,5,13,13,17,11,16,14,16,14,23,19,19,10,15,9,26,15,14,21,18,20,14,16,21,13,14,19,13,12,15,12,17,11,16,14,16,12,8,8,9,9,13,14,6,4,4,3,5,4,8,6,5,8,10,6,7,12,8,4,3,3,8,8,3,6,2,6,3,5,3,3,4,4,4,3,5,2,2,6,3,5,1,0,0,3,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
10304,基隆市中正區,和憲里,507,1222,645,577,7,3,5,0,5,7,4,1,3,4,3,4,5,7,5,2,5,3,3,5,6,3,7,5,7,7,7,5,9,9,8,6,7,7,9,6,6,9,9,6,9,8,5,12,11,12,12,7,3,8,5,7,5,7,8,9,11,5,12,11,9,7,17,5,12,10,5,10,11,8,5,7,11,9,18,8,11,9,13,14,7,8,13,9,15,5,12,4,8,6,14,9,6,5,10,13,8,8,10,11,11,12,12,7,5,11,12,13,12,6,7,13,9,10,7,11,9,8,12,6,10,12,9,10,11,5,13,5,5,8,6,8,7,8,1,4,3,5,6,4,1,5,3,1,1,6,4,4,5,2,2,5,5,5,2,3,3,3,4,3,5,5,0,3,2,3,3,2,3,0,2,4,4,4,2,3,3,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
10304,基隆市中正區,平寮里,616,1596,839,757,7,4,4,5,3,4,2,3,3,4,2,5,3,4,2,1,1,5,4,10,7,12,13,8,11,13,7,12,6,10,9,5,6,11,9,7,4,12,11,8,9,9,18,4,8,15,12,4,14,12,14,11,13,4,14,8,12,6,17,19,13,13,12,8,15,18,13,14,9,9,8,13,15,6,17,4,15,13,18,8,15,13,13,3,15,9,15,14,17,8,19,9,12,8,13,9,14,9,11,10,12,9,17,11,7,9,13,9,13,12,19,16,12,16,23,16,13,4,11,11,13,14,12,15,6,16,9,16,7,12,8,16,8,10,11,7,2,6,9,3,9,9,10,8,3,4,4,3,11,12,4,11,4,6,4,5,4,4,6,5,1,5,2,3,3,1,4,3,6,5,3,1,2,4,2,3,3,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
10304,基隆市中正區,建國里,938,2329,1212,1117,3,3,7,7,5,5,6,7,10,5,15,12,18,8,13,7,6,7,9,8,4,5,8,8,7,3,13,4,10,9,13,10,11,16,18,6,23,10,12,18,14,23,22,17,18,9,23,19,15,20,24,13,10,14,16,23,16,13,14,19,20,15,20,11,16,12,21,12,15,21,17,19,16,12,15,17,17,18,16,10,17,14,14,12,19,17,19,13,21,12,18,13,19,19,14,22,23,20,16,21,19,18,18,15,20,17,16,17,23,15,23,29,24,22,20,25,20,18,31,22,26,30,19,17,29,22,22,9,15,19,8,10,17,14,6,6,6,11,9,9,5,17,7,6,6,7,13,16,4,10,7,8,4,11,4,2,2,5,2,7,4,5,2,3,5,8,8,6,6,1,1,6,6,3,5,1,0,1,3,3,2,3,4,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,
