統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,苗栗縣苗栗市,上苗里,779,2055,1035,1020,7,10,4,6,5,9,6,8,7,4,18,12,20,10,11,13,19,12,14,13,9,9,8,10,11,4,10,10,16,8,12,8,16,10,9,9,12,19,18,11,6,12,15,12,10,16,14,12,11,14,12,14,13,15,10,10,10,12,13,17,13,17,12,19,10,10,18,11,12,16,21,16,11,11,20,16,14,14,12,8,14,13,18,13,13,19,12,16,11,18,12,14,15,10,12,9,16,15,15,19,9,15,11,9,21,12,10,15,23,19,16,17,21,18,22,13,12,12,18,15,11,11,18,12,15,15,18,19,9,16,8,7,9,14,16,8,5,7,8,7,5,4,10,12,4,11,12,13,8,7,8,11,16,8,7,11,10,2,4,5,4,3,6,9,5,3,5,8,3,1,2,10,5,4,4,4,2,7,1,1,2,4,1,1,2,5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,
10304,苗栗縣苗栗市,中苗里,538,1437,698,739,7,9,5,5,6,7,5,2,3,8,7,7,8,10,8,9,10,9,12,5,14,10,11,8,14,8,8,16,11,12,12,8,9,9,12,2,11,17,13,10,7,8,11,10,9,3,5,9,13,10,6,7,9,10,4,10,10,12,5,12,8,8,13,9,9,12,9,4,10,12,14,11,5,11,12,16,14,10,14,13,5,16,8,12,11,15,10,13,10,11,11,8,11,9,10,12,12,9,9,17,7,10,13,7,9,8,11,12,12,9,11,7,7,12,6,8,11,6,14,14,7,9,7,4,5,8,9,8,4,8,5,7,6,10,0,6,3,9,4,5,2,5,6,7,1,7,5,5,1,7,7,2,3,5,4,4,4,2,5,1,1,6,3,0,3,10,9,3,3,3,2,3,2,2,3,4,6,0,2,2,0,0,1,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,
10304,苗栗縣苗栗市,勝利里,1492,4562,2274,2288,26,23,21,23,24,21,18,13,8,11,8,17,13,8,11,14,11,10,17,7,11,9,22,11,18,12,21,14,16,26,25,23,29,26,26,25,30,36,37,37,32,36,40,25,30,36,32,38,45,42,41,51,34,29,38,30,38,41,45,38,33,48,41,39,44,41,40,41,41,41,38,37,29,31,31,37,32,31,27,21,27,34,31,27,36,24,38,35,31,35,29,23,37,34,36,22,28,28,38,29,35,44,37,42,35,46,43,42,37,46,31,40,33,31,44,42,30,39,43,25,20,28,47,38,24,24,21,39,16,21,18,26,12,11,26,19,9,13,20,21,18,13,10,16,16,17,13,23,16,12,13,20,18,12,9,19,9,10,12,21,10,12,14,14,7,9,6,6,12,9,8,8,5,6,10,9,14,3,6,4,5,3,2,5,2,2,2,3,0,0,0,2,0,1,0,1,0,0,0,1,2,0,
10304,苗栗縣苗栗市,北苗里,2158,6336,3123,3213,30,32,28,30,26,24,20,16,36,30,23,38,37,37,27,26,26,33,31,20,30,28,36,33,36,36,49,47,38,37,37,39,51,42,44,41,48,39,54,41,51,35,58,54,47,55,46,50,42,48,32,42,39,42,37,42,47,41,45,50,62,43,55,66,75,64,49,52,56,65,53,47,40,41,49,45,41,58,28,45,44,39,51,51,47,49,42,43,43,47,37,53,44,45,45,50,40,40,48,58,43,53,41,51,36,36,47,55,56,44,41,49,52,48,43,60,38,44,39,49,45,48,43,41,47,51,48,45,31,38,32,31,20,22,25,19,12,10,22,25,13,19,26,29,22,24,29,14,13,13,17,19,16,21,18,13,11,19,9,14,12,11,10,8,17,10,9,7,4,7,12,7,8,7,4,3,3,8,4,2,1,3,1,2,0,1,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,
10304,苗栗縣苗栗市,南勢里,793,2413,1275,1138,18,9,14,17,10,14,10,9,14,7,14,8,9,2,8,4,9,7,5,10,8,12,13,6,7,12,19,13,13,14,14,13,18,13,13,26,24,18,31,22,19,22,29,20,19,13,22,20,17,24,15,19,28,18,24,18,16,14,23,17,20,14,10,16,15,27,27,13,20,18,18,15,19,13,20,9,24,17,14,8,13,15,8,18,15,16,24,23,22,13,13,14,20,17,15,20,32,11,23,22,18,17,23,30,20,18,19,23,19,22,16,15,18,19,17,10,15,14,26,15,17,11,18,12,16,12,9,16,13,6,6,8,9,9,12,10,8,7,4,8,1,5,3,4,7,9,4,8,8,14,5,4,6,6,2,11,9,5,4,10,4,4,4,8,6,1,13,5,9,5,5,5,5,4,6,3,4,1,6,1,1,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10304,苗栗縣苗栗市,嘉新里,1075,3586,1799,1787,19,20,17,19,20,13,13,12,16,13,11,11,13,16,10,14,14,13,16,15,15,10,17,14,18,18,14,19,20,18,17,20,17,18,21,20,24,25,20,25,25,30,28,21,25,25,34,24,30,27,28,38,35,25,31,22,45,36,37,28,27,35,29,37,36,33,29,27,30,35,31,28,32,29,27,26,22,27,20,17,21,18,17,15,21,14,36,19,25,26,26,23,19,17,23,18,16,20,31,29,27,27,24,41,26,36,38,21,30,38,24,30,30,30,31,41,33,28,35,24,30,26,26,31,31,20,18,19,20,16,17,21,14,14,13,18,7,13,10,13,15,9,11,16,11,14,12,12,13,11,8,15,5,10,7,10,8,5,5,6,6,11,8,6,8,8,7,8,2,6,4,8,5,3,1,6,1,2,0,0,3,4,2,1,0,1,1,2,0,0,1,0,0,2,1,0,1,2,1,0,0,0,
10304,苗栗縣苗栗市,嘉盛里,1346,4338,2168,2170,10,21,14,24,17,37,17,10,19,9,11,21,9,16,24,18,15,12,20,21,22,21,19,21,28,21,24,26,31,27,23,30,30,24,27,24,26,32,31,29,31,29,38,31,46,24,30,37,28,38,37,37,42,32,32,38,38,37,28,26,40,27,37,42,45,30,36,42,41,41,33,27,33,22,34,41,29,25,32,27,35,19,24,37,35,31,33,30,24,31,40,35,32,27,27,26,25,37,25,33,24,31,32,36,49,40,29,31,27,25,29,23,30,36,35,31,33,30,19,23,19,19,30,31,22,30,28,23,19,21,19,18,21,27,18,19,15,13,16,17,17,19,22,22,19,15,16,18,13,29,12,13,18,9,11,6,9,13,8,13,9,7,8,11,14,8,12,11,7,6,8,11,3,7,7,3,1,3,1,6,4,5,1,3,3,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,
10304,苗栗縣苗栗市,大同里,255,668,318,350,2,0,9,5,2,3,1,1,3,3,0,2,1,5,4,3,3,3,2,4,3,1,2,3,3,2,2,0,3,2,2,1,3,0,3,1,3,2,4,2,6,1,2,5,5,2,3,9,3,7,5,7,2,2,4,6,3,8,5,4,4,3,7,2,8,8,4,9,6,4,10,5,4,6,7,4,3,8,4,2,2,5,2,5,8,6,7,2,0,4,4,4,3,4,3,5,4,5,3,4,2,4,3,2,7,3,4,3,8,3,7,6,8,8,10,4,4,8,4,5,2,9,3,7,5,6,7,8,3,6,3,3,3,5,3,7,4,1,3,2,5,3,0,3,2,2,3,4,5,5,3,3,1,3,3,4,0,5,4,3,2,1,1,3,1,2,2,3,0,3,1,0,4,3,0,3,0,1,0,0,1,2,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10304,苗栗縣苗栗市,建功里,1881,5387,2600,2787,19,15,26,24,18,22,16,15,18,28,32,17,44,23,38,27,31,29,26,39,47,29,55,36,47,35,45,48,44,40,43,35,45,27,47,39,45,41,40,35,40,38,32,33,37,41,45,28,39,32,46,32,29,38,37,35,35,36,47,33,44,40,45,49,35,44,35,50,32,48,40,37,32,49,37,37,26,50,33,43,29,50,34,42,36,50,43,46,33,34,32,35,38,44,41,36,25,52,37,53,28,33,35,40,40,48,25,37,26,44,38,47,38,47,28,42,30,35,39,49,26,27,26,41,31,39,23,28,25,24,19,26,18,26,24,22,20,16,19,16,16,16,17,19,17,23,18,24,15,20,15,13,23,11,16,19,14,12,7,12,8,14,9,14,4,7,8,10,4,5,6,8,4,5,6,7,4,3,3,1,1,5,0,2,1,3,2,6,2,1,0,0,1,0,0,0,0,0,1,0,0,1,
10304,苗栗縣苗栗市,恭敬里,602,1631,796,835,8,9,12,10,6,7,6,7,5,7,5,7,6,9,6,8,8,6,7,6,7,4,8,4,6,3,6,8,8,8,8,13,9,6,12,13,8,12,9,11,11,10,13,15,13,8,9,13,12,8,13,7,11,8,10,14,10,8,18,11,18,13,13,13,20,17,13,16,15,18,12,19,12,13,6,9,9,8,10,10,13,7,13,15,9,14,9,7,13,12,11,11,13,13,12,11,16,7,12,13,16,26,15,20,8,11,11,17,12,10,13,13,12,20,12,21,17,13,11,11,9,3,5,13,14,7,9,13,2,10,12,8,3,4,4,4,3,5,8,5,8,4,6,7,8,7,3,9,8,4,2,11,9,6,6,8,7,3,2,4,1,4,2,2,2,2,4,3,2,4,1,3,0,3,2,4,3,1,1,1,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
